Influenza-Associated Hospitalizations by Virus Type Number (data downloaded on 3/7/2025)
0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
12,7,18,11,21
18,4,14,6,21
4,6,11,7,10
9,3,6,4,12
12,1,2,6,16
9,1,8,4,11
4,0,1,0,1
2,0,1,0,0
2,0,2,0,0
1,0,2,1,2
3,1,1,1,6
2,0,0,0,5
5,1,2,0,4
7,0,6,3,5
4,2,2,3,9
7,2,1,1,11
7,5,3,5,6
19,6,10,3,9
22,8,12,7,16
12,6,17,5,15
18,6,14,6,19
27,6,18,9,20
32,13,26,17,44
37,18,66,46,71
68,24,88,68,132
67,23,87,68,165
63,25,83,77,238
53,23,76,63,229
58,12,55,56,201
44,15,54,55,171
28,9,37,35,134
14,6,25,17,88
15,6,20,24,64
8,3,16,5,35
6,1,6,6,35
4,0,5,4,14
2,0,1,0,0
6,0,3,2,0
0,0,2,0,2
3,0,3,1,4
3,0,3,0,3
3,1,2,3,3
2,1,2,3,4
5,0,6,1,2
4,0,2,1,4
8,2,1,2,9
8,0,4,3,3
8,0,6,1,1
11,1,7,8,9
15,1,4,3,2
12,3,7,2,6
24,6,10,2,12
21,8,12,9,8
29,15,19,8,22
32,14,24,17,21
34,21,41,23,35
56,28,54,17,30
60,30,44,20,27
55,31,38,12,19
54,29,21,18,34
34,20,21,19,17
26,12,17,10,30
20,11,8,7,11
11,8,7,8,8
4,2,5,1,3
8,14,38,12,12
35,40,92,29,17
35,37,82,35,15
36,58,108,46,21
73,89,164,62,26
123,164,250,115,67
174,194,354,178,67
185,181,368,203,95
141,159,339,170,84
102,102,265,151,66
72,50,162,128,48
45,36,122,78,47
25,16,73,47,32
22,10,46,22,25
22,11,32,19,8
17,8,21,17,9
20,3,16,12,17
19,1,23,21,13
17,3,16,13,9
10,4,20,10,12
22,3,19,5,8
17,1,10,7,4
19,2,15,10,8
11,2,14,6,7
11,1,17,18,4
9,3,19,4,6
9,2,21,8,3
7,2,26,7,0
7,3,12,12,4
5,3,11,3,5
5,0,6,3,5
7,0,6,1,3
5,1,5,6,1
6,1,3,0,0
4,0,2,0,1
2,1,3,3,4
4,1,2,3,5
5,2,1,3,6
6,3,6,3,5
6,4,7,4,3
5,2,4,3,3
7,2,11,12,4
8,4,10,10,8
16,7,14,9,18
21,9,23,16,21
19,12,30,16,30
22,11,60,29,50
39,16,56,39,99
35,12,72,48,85
48,18,72,56,88
54,29,109,68,100
68,31,102,79,147
87,40,138,88,173
74,37,135,90,130
74,34,148,120,216
89,45,152,136,197
62,45,112,109,202
59,24,94,82,155
47,23,60,70,138
37,17,38,43,79
21,11,23,25,67
13,5,20,20,50
13,7,12,11,39
8,3,10,6,23
5,1,7,4,16
1,0,1,4,2
0,0,2,1,2
2,0,3,1,2
0,0,0,1,1
0,0,3,0,3
1,0,1,0,0
0,1,2,0,1
3,0,1,0,5
3,1,3,1,1
1,1,2,2,2
3,2,4,2,5
1,0,8,2,3
3,0,7,5,11
0,1,4,9,10
5,2,3,2,10
6,1,2,4,10
1,2,3,7,16
8,3,9,11,27
10,11,9,9,19
17,3,22,17,32
20,10,24,19,37
16,14,30,38,70
31,20,44,36,87
39,19,75,36,128
38,26,72,52,106
24,20,51,46,87
13,19,50,38,75
17,8,37,44,93
12,17,27,26,85
15,11,27,19,45
3,1,2,1,4
0,2,1,1,2
0,2,2,5,6
3,1,1,1,4
5,3,3,9,5
8,7,12,7,20
20,9,19,10,18
16,14,35,28,40
32,12,51,40,87
41,43,104,92,115
59,37,94,102,254
88,53,168,156,419
82,46,223,234,832
110,39,213,268,895
111,31,181,245,823
102,47,166,183,564
81,44,130,144,477
72,43,96,128,385
56,42,80,85,289
56,26,82,92,234
49,39,78,81,129
41,21,59,62,155
30,22,61,53,117
40,30,55,49,88
33,25,37,38,73
22,26,31,27,58
30,15,30,37,54
9,10,24,21,44
8,4,14,16,13
12,6,10,8,17
2,1,0,2,4
0,0,5,7,9
1,1,0,5,12
6,0,3,4,8
3,2,10,8,10
3,2,16,7,10
4,3,24,19,11
8,5,43,25,18
22,11,55,44,27
31,13,101,72,54
45,22,96,80,59
53,33,197,147,115
65,36,268,268,218
111,28,297,326,311
89,43,295,346,260
71,26,251,287,218
54,40,196,196,185
43,26,152,183,170
33,18,135,160,141
25,15,88,129,96
26,14,68,72,99
20,9,58,73,87
14,7,30,58,76
13,10,27,46,89
10,16,37,28,103
13,11,33,50,80
14,15,43,52,87
14,4,49,51,111
16,10,35,42,85
12,12,31,58,112
2,1,3,2,11
1,0,10,9,14
3,3,8,12,23
2,2,5,6,11
2,4,6,11,6
9,4,9,12,16
6,11,11,12,28
12,18,20,18,63
32,29,68,52,156
59,45,118,97,322
73,72,136,146,577
97,95,248,274,952
116,109,279,383,1613
100,45,217,346,1631
61,34,195,243,1164
57,34,119,171,780
56,26,94,136,555
43,26,77,114,493
25,21,79,97,468
32,19,75,97,338
31,18,57,77,256
24,23,58,80,215
33,23,49,68,187
28,21,46,72,176
20,20,55,58,169
15,26,46,67,143
13,13,44,69,137
19,11,41,63,146
9,7,29,47,111
9,5,26,19,66
8,4,17,12,35
1,0,3,6,14
4,1,3,6,12
2,1,2,1,10
2,1,4,4,6
4,1,3,7,9
2,3,3,0,8
4,1,6,5,9
4,3,4,4,10
3,2,4,7,8
3,3,6,9,14
2,1,9,8,20
6,2,14,8,33
4,0,14,17,22
8,5,21,22,51
5,5,16,20,40
5,12,18,27,43
10,6,48,42,58
20,12,56,72,77
26,16,85,81,123
63,37,130,168,167
80,37,182,219,193
78,52,211,279,296
87,54,308,350,389
83,60,247,263,312
68,40,201,241,286
63,28,151,196,279
42,21,109,136,210
27,21,70,122,165
19,13,72,77,141
16,13,51,55,90
2,1,5,5,12
1,2,2,7,15
0,0,7,6,16
0,3,6,7,22
0,2,5,5,29
4,2,10,12,30
1,1,6,11,31
3,1,19,21,43
6,6,17,20,66
10,4,27,29,99
7,10,38,59,116
28,14,64,81,273
23,12,101,159,629
19,11,127,217,816
26,31,117,213,691
31,41,138,207,665
38,34,129,185,562
42,51,151,187,635
61,62,153,262,774
73,81,184,272,828
72,72,197,290,885
48,26,114,175,556
34,46,84,182,474
36,50,111,156,433
44,43,125,167,482
35,47,123,182,402
30,21,82,108,334
16,21,40,83,240
15,17,34,63,147
7,8,29,42,94
2,1,7,8,17
1,2,3,7,19
2,2,13,10,42
2,2,6,19,34
5,6,19,17,37
3,6,18,26,48
7,8,23,27,64
13,11,33,48,112
16,10,53,57,197
15,12,68,74,229
32,26,95,150,372
47,30,176,315,772
94,44,266,444,1519
74,39,316,621,1906
88,63,391,586,1706
82,60,336,513,1567
128,64,333,493,1447
120,101,302,465,1259
115,88,307,472,1042
95,81,231,404,1007
75,75,178,309,867
42,39,124,225,595
36,34,102,164,469
33,25,91,160,494
40,29,92,139,356
22,25,88,133,378
15,9,75,129,316
16,4,40,95,231
11,11,38,64,172
20,14,44,48,159
2,0,7,3,9
3,0,10,5,11
1,3,3,9,14
3,1,4,8,14
8,3,12,4,19
7,3,9,13,21
6,9,17,14,21
11,7,23,22,31
23,13,37,31,57
33,15,37,45,67
52,37,67,91,99
67,65,137,118,176
95,44,178,214,318
69,14,193,239,369
56,26,151,219,283
44,39,119,190,228
54,46,160,165,251
71,56,142,243,349
54,57,181,263,455
70,68,178,285,517
81,72,236,299,647
69,62,199,305,698
82,63,234,344,793
76,63,227,362,870
59,63,208,298,774
47,39,144,218,588
41,29,107,143,459
23,15,78,99,306
16,15,47,72,175
18,14,36,34,133
1,1,5,5,16
3,3,7,11,10
3,5,9,8,25
9,4,7,13,24
7,3,16,9,34
6,6,29,22,24
14,20,26,27,35
19,19,51,32,63
35,23,62,62,89
44,36,101,74,111
53,57,133,104,155
73,65,188,182,197
121,88,324,332,436
156,67,369,364,593
109,49,330,310,523
101,67,300,342,415
117,86,305,366,471
132,90,368,421,543
146,108,373,461,671
95,81,278,395,614
120,61,272,402,611
73,42,264,308,599
81,43,228,282,519
44,50,154,219,359
14,19,89,102,143
3,2,12,30,45
2,0,12,8,13
0,0,5,7,5
0,0,4,6,11
0,0,1,3,5
0,0,0,0,1
0,0,2,0,0
0,0,2,2,2
0,0,0,0,7
0,0,1,3,3
0,0,1,3,8
0,0,4,5,4
0,0,1,5,5
1,0,0,4,3
1,0,3,7,6
1,0,3,0,9
0,0,1,3,7
1,0,1,6,5
1,0,6,3,7
0,0,4,2,5
0,0,0,2,6
0,0,0,1,4
0,0,1,3,5
0,0,2,2,7
0,1,0,0,5
0,0,0,1,3
1,1,0,1,2
0,1,2,4,2
0,0,4,2,0
0,0,0,0,3
0,0,1,1,2
0,0,1,0,3
0,0,0,2,2
0,0,1,1,1
0,0,0,0,2
0,0,1,1,1
0,1,1,2,2
1,1,4,2,4
3,1,2,2,1
1,0,3,2,3
0,0,5,1,2
3,2,5,3,4
2,2,11,2,7
3,0,11,7,25
4,6,24,7,38
5,14,31,22,53
13,13,50,23,74
15,15,48,45,88
21,17,65,52,127
15,7,50,32,80
13,14,27,25,40
9,6,21,17,22
2,6,15,12,12
6,5,9,10,23
5,6,14,10,19
4,3,22,12,24
5,7,24,11,36
7,12,19,16,49
10,13,25,15,57
10,17,39,38,77
19,17,54,37,82
16,18,70,42,134
19,29,58,60,146
20,25,65,52,154
20,35,75,61,159
17,26,82,65,170
27,27,57,58,151
20,29,70,39,143
14,14,53,37,105
23,15,39,37,73
14,17,34,25,51
7,6,23,16,42
15,22,22,25,39
12,23,38,35,54
31,44,57,41,99
51,62,115,110,175
63,110,169,147,237
96,121,217,156,355
112,115,235,230,448
190,170,433,396,850
185,153,481,518,1207
154,133,388,447,1026
141,145,352,389,845
113,96,295,358,779
87,61,235,296,837
36,21,147,176,492
21,13,67,86,189
10,8,55,50,110
3,3,26,36,65
5,6,19,29,68
6,7,17,25,47
3,4,12,17,53
4,10,12,20,35
6,2,13,18,31
5,8,11,15,35
4,6,22,12,30
5,10,22,16,27
3,9,16,19,26
1,9,14,21,25
6,3,16,11,25
4,5,12,9,29
4,7,16,9,14
6,3,10,10,33
4,3,17,15,34
5,5,17,21,31
4,10,21,16,27
14,10,31,33,53
14,29,52,57,82
12,36,59,76,103
20,31,93,104,168
38,44,142,151,270
36,62,209,206,377
77,85,310,270,528
109,131,421,522,867
123,110,585,645,1256
120,87,448,502,964
97,85,330,412,733
77,66,256,287,596
77,92,274,257,508
49,92,226,234,476
76,81,220,225,468
63,82,225,207,447
53,85,220,206,457
73,72,215,189,469
50,79,175,164,356
42,54,136,120,306
31,58,126,118,241
20,33,127,103,249
26,36,120,109,217
27,19,79,83,177
19,15,57,61,132
17,12,37,41,101
10,3,25,25,76
8,11,19,15,63
10,8,19,13,40
2,4,15,20,43
2,2,18,15,45
5,4,14,16,26
0,3,12,11,24
3,1,6,15,39
4,3,10,12,18
3,1,8,13,27
2,2,4,14,30
0,0,6,6,22
3,1,8,3,11
0,1,3,4,10
1,0,4,8,19
1,2,4,7,16
0,0,6,2,11
4,1,3,4,17
3,0,5,7,13
0,0,4,6,16
3,1,5,7,21
2,2,7,7,19
0,2,5,3,15
2,1,10,7,19
1,2,11,9,32
2,3,12,14,33
4,2,13,20,29
5,8,17,14,38
6,4,27,28,57
8,7,31,26,82
11,11,33,32,91
14,19,75,65,185
28,38,129,153,288
60,77,258,258,520
136,118,493,490,1142
139,109,649,656,1594
114,97,510,558,1286
139,168,509,620,1363
158,160,629,758,1654
174,187,693,895,2212
170,217,684,920,2120
159,165,511,650,1641
69,81,311,418,1052
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

"1. The Influenza Hospitalization Surveillance Network (FluSurv-NET) data are preliminary and subject to change as more data become available. In particular, case counts and rates for recent hospital admissions are subject to reporting delays. As data are received each week, prior case counts and rates are updated accordingly. FluSurv-NET conducts population-based surveillance for laboratory-confirmed influenza-associated hospitalizations in children <18 years of age and adults. The FluSurv-NET catchment area includes more than 90 selected counties or county equivalents in California, Colorado, Connecticut, Georgia, Maryland, Michigan, Minnesota, New Mexico, New York, North Carolina, Ohio, Oregon, Tennessee, and Utah. Additional counties in Idaho (2010 to 2011), Iowa (2012 to 2013, 2020-2022), Oklahoma (2010 to 2011), and Rhode Island (2010 to 2013) have also contributed to the network. Incidence rates (per 100,000 population) are calculated using either the National Center for Health Statistics' (NCHS) vintage bridged-race postcensal population estimates (for years prior to 2020) or U.S. Census vintage unbridged-race postcensal population estimates (for 2020 through present) for the counties or county equivalents included in the surveillance catchment area. The rates provided are likely to be underestimated as influenza-associated hospitalizations might be missed due to test availability and provider or facility testing practices."
"2. In most influenza seasons, case counts reflect cases hospitalized during October 1 – April 30 of each influenza season. Cases hospitalized during Week 39 are included in the totals for Week 40, while cases hospitalized during Week 18 are included in the totals for Week 17. In 2009-10, case counts reflect cases hospitalized during Sept 1, 2009 through April 30, 2010 (Week 35 – Week 17). In the 2021-22, rates reflect cases hospitalized beginning October 1, 2021 (Week 39), but given late influenza season activity, the season was extended to June 11, 2022 (Week 23). In 2023-2024, surveillance was extended to September 28, 2024 (Week 39) for situational awareness during the ongoing outbreak of highly pathogenic avian influenza (HPAI) A(H5N1) virus among birds, poultry, dairy cattle, and other animals in the United States (H5N1 Bird Flu: Current Situation Summary | Avian Influenza (Flu) (cdc.gov))."
