"National Healthcare Safety Network (NHSN) Hospital Respiratory Data (downloaded on "Mar-06-2025)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202335,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.32
202335,2022-23,Influenza Hospital Admissions,10,HHS Region,46
202335,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,25.29
202335,2022-23,Average patients with influenza in ICU,10,HHS Region,2.14
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.07
202336,2022-23,Influenza Hospital Admissions,1,HHS Region,11
202336,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,15.57
202336,2022-23,Average patients with influenza in ICU,1,HHS Region,3
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.25
202336,2022-23,Influenza Hospital Admissions,2,HHS Region,79
202336,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,76.71
202336,2022-23,Average patients with influenza in ICU,2,HHS Region,4.29
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.29
202336,2022-23,Influenza Hospital Admissions,3,HHS Region,91
202336,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,57.29
202336,2022-23,Average patients with influenza in ICU,3,HHS Region,6.43
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.43
202336,2022-23,Influenza Hospital Admissions,4,HHS Region,285
202336,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,302.57
202336,2022-23,Average patients with influenza in ICU,4,HHS Region,107.29
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.07
202336,2022-23,Influenza Hospital Admissions,5,HHS Region,37
202336,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,71.43
202336,2022-23,Average patients with influenza in ICU,5,HHS Region,5.86
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.35
202336,2022-23,Influenza Hospital Admissions,6,HHS Region,149
202336,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,83.14
202336,2022-23,Average patients with influenza in ICU,6,HHS Region,16
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.14
202336,2022-23,Influenza Hospital Admissions,7,HHS Region,20
202336,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,11.57
202336,2022-23,Average patients with influenza in ICU,7,HHS Region,2.71
202330,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.16
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.11
202336,2022-23,Influenza Hospital Admissions,8,HHS Region,13
202336,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,9
202336,2022-23,Average patients with influenza in ICU,8,HHS Region,0.14
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.12
202336,2022-23,Influenza Hospital Admissions,9,HHS Region,59
202336,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,61.43
202336,2022-23,Average patients with influenza in ICU,9,HHS Region,3.86
202336,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.3
202336,2022-23,Influenza Hospital Admissions,10,HHS Region,43
202336,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,30
202336,2022-23,Average patients with influenza in ICU,10,HHS Region,3.43
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.11
202337,2022-23,Influenza Hospital Admissions,1,HHS Region,16
202337,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,18.71
202337,2022-23,Average patients with influenza in ICU,1,HHS Region,3.14
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.25
202337,2022-23,Influenza Hospital Admissions,2,HHS Region,79
202337,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,78.86
202337,2022-23,Average patients with influenza in ICU,2,HHS Region,2.57
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.28
202337,2022-23,Influenza Hospital Admissions,3,HHS Region,87
202337,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,60.43
202337,2022-23,Average patients with influenza in ICU,3,HHS Region,10.29
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.46
202337,2022-23,Influenza Hospital Admissions,4,HHS Region,308
202337,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,315.71
202337,2022-23,Average patients with influenza in ICU,4,HHS Region,106.71
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.09
202337,2022-23,Influenza Hospital Admissions,5,HHS Region,49
202337,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,63.43
202337,2022-23,Average patients with influenza in ICU,5,HHS Region,6.86
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.41
202337,2022-23,Influenza Hospital Admissions,6,HHS Region,175
202337,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,98.86
202337,2022-23,Average patients with influenza in ICU,6,HHS Region,15.29
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.08
202337,2022-23,Influenza Hospital Admissions,7,HHS Region,11
202337,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,10.71
202337,2022-23,Average patients with influenza in ICU,7,HHS Region,3.29
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.05
202337,2022-23,Influenza Hospital Admissions,8,HHS Region,6
202337,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,8.71
202337,2022-23,Average patients with influenza in ICU,8,HHS Region,0.29
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.12
202337,2022-23,Influenza Hospital Admissions,9,HHS Region,59
202337,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,61.71
202337,2022-23,Average patients with influenza in ICU,9,HHS Region,5.57
202337,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.17
202337,2022-23,Influenza Hospital Admissions,10,HHS Region,25
202337,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,24.14
202337,2022-23,Average patients with influenza in ICU,10,HHS Region,1.29
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.21
202338,2022-23,Influenza Hospital Admissions,1,HHS Region,31
202338,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,20.71
202338,2022-23,Average patients with influenza in ICU,1,HHS Region,4.14
202242,2022-23,Influenza Hospital Admissions,2,HHS Region,127
202242,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,87.14
202242,2022-23,Average patients with influenza in ICU,2,HHS Region,7.43
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.75
202242,2022-23,Influenza Hospital Admissions,3,HHS Region,232
202242,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,119.71
202242,2022-23,Average patients with influenza in ICU,3,HHS Region,14.43
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,1.03
202242,2022-23,Influenza Hospital Admissions,4,HHS Region,690
202242,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,514.14
202242,2022-23,Average patients with influenza in ICU,4,HHS Region,106
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.34
202242,2022-23,Influenza Hospital Admissions,5,HHS Region,177
202242,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,118.86
202242,2022-23,Average patients with influenza in ICU,5,HHS Region,16.71
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,1.55
202242,2022-23,Influenza Hospital Admissions,6,HHS Region,663
202242,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,313.29
202242,2022-23,Average patients with influenza in ICU,6,HHS Region,50.86
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.42
202242,2022-23,Influenza Hospital Admissions,7,HHS Region,60
202242,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,60.86
202242,2022-23,Average patients with influenza in ICU,7,HHS Region,12
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.29
202242,2022-23,Influenza Hospital Admissions,8,HHS Region,36
202242,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,13.86
202242,2022-23,Average patients with influenza in ICU,8,HHS Region,0.29
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.3
202242,2022-23,Influenza Hospital Admissions,9,HHS Region,155
202242,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,103.57
202242,2022-23,Average patients with influenza in ICU,9,HHS Region,12.86
202242,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.19
202242,2022-23,Influenza Hospital Admissions,10,HHS Region,28
202242,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,18
202242,2022-23,Average patients with influenza in ICU,10,HHS Region,2
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.37
202243,2022-23,Influenza Hospital Admissions,1,HHS Region,55
202243,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,25.86
202243,2022-23,Average patients with influenza in ICU,1,HHS Region,1.86
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.72
202243,2022-23,Influenza Hospital Admissions,2,HHS Region,226
202243,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,128.57
202243,2022-23,Average patients with influenza in ICU,2,HHS Region,13.14
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,1.67
202243,2022-23,Influenza Hospital Admissions,3,HHS Region,516
202243,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,236.57
202243,2022-23,Average patients with influenza in ICU,3,HHS Region,26
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,2
202243,2022-23,Influenza Hospital Admissions,4,HHS Region,1337
202243,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,824.43
202243,2022-23,Average patients with influenza in ICU,4,HHS Region,142
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.79
202243,2022-23,Influenza Hospital Admissions,5,HHS Region,414
202243,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,218.71
202243,2022-23,Average patients with influenza in ICU,5,HHS Region,26.14
202243,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,2.46
202243,2022-23,Influenza Hospital Admissions,6,HHS Region,1050
202243,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,446.29
202243,2022-23,Average patients with influenza in ICU,6,HHS Region,72.43
202301,2022-23,Influenza Hospital Admissions,9,HHS Region,1395
202301,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,1384.86
202301,2022-23,Average patients with influenza in ICU,9,HHS Region,214.71
202301,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,3.62
202301,2022-23,Influenza Hospital Admissions,10,HHS Region,520
202301,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,507.43
202301,2022-23,Average patients with influenza in ICU,10,HHS Region,66.57
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,3.06
202302,2022-23,Influenza Hospital Admissions,1,HHS Region,455
202302,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,582.43
202302,2022-23,Average patients with influenza in ICU,1,HHS Region,70.86
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,2.42
202302,2022-23,Influenza Hospital Admissions,2,HHS Region,765
202302,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,845.14
202302,2022-23,Average patients with influenza in ICU,2,HHS Region,129.57
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,2.39
202302,2022-23,Influenza Hospital Admissions,3,HHS Region,736
202302,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,753.14
202302,2022-23,Average patients with influenza in ICU,3,HHS Region,122
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,2
202302,2022-23,Influenza Hospital Admissions,4,HHS Region,1338
202302,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,1373.57
202302,2022-23,Average patients with influenza in ICU,4,HHS Region,241.29
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,2.05
202302,2022-23,Influenza Hospital Admissions,5,HHS Region,1078
202302,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1297.43
202302,2022-23,Average patients with influenza in ICU,5,HHS Region,230
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,2.99
202302,2022-23,Influenza Hospital Admissions,6,HHS Region,1277
202302,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,772.57
202302,2022-23,Average patients with influenza in ICU,6,HHS Region,166.57
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,2.87
202302,2022-23,Influenza Hospital Admissions,7,HHS Region,406
202302,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,410.57
202302,2022-23,Average patients with influenza in ICU,7,HHS Region,75.71
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,1.98
202302,2022-23,Influenza Hospital Admissions,8,HHS Region,243
202302,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,228
202302,2022-23,Average patients with influenza in ICU,8,HHS Region,30.29
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,1.17
202302,2022-23,Influenza Hospital Admissions,9,HHS Region,601
202302,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,812.29
202302,2022-23,Average patients with influenza in ICU,9,HHS Region,136.71
202302,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,1.8
202302,2022-23,Influenza Hospital Admissions,10,HHS Region,259
202302,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,311.57
202302,2022-23,Average patients with influenza in ICU,10,HHS Region,43.86
202303,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,1.65
202303,2022-23,Influenza Hospital Admissions,1,HHS Region,245
202303,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,311
202303,2022-23,Average patients with influenza in ICU,1,HHS Region,42.43
202303,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,1.42
202303,2022-23,Influenza Hospital Admissions,2,HHS Region,448
202303,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,565.43
202303,2022-23,Average patients with influenza in ICU,2,HHS Region,83.86
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.32
202312,2022-23,Influenza Hospital Admissions,1,HHS Region,48
202312,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,37.14
202312,2022-23,Average patients with influenza in ICU,1,HHS Region,3
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.43
202312,2022-23,Influenza Hospital Admissions,2,HHS Region,135
202312,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,95.86
202312,2022-23,Average patients with influenza in ICU,2,HHS Region,14
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.8
202312,2022-23,Influenza Hospital Admissions,3,HHS Region,246
202312,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,129.29
202312,2022-23,Average patients with influenza in ICU,3,HHS Region,23.29
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.52
202312,2022-23,Influenza Hospital Admissions,4,HHS Region,345
202312,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,346.86
202312,2022-23,Average patients with influenza in ICU,4,HHS Region,102.71
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.22
202312,2022-23,Influenza Hospital Admissions,5,HHS Region,114
202312,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,92.86
202312,2022-23,Average patients with influenza in ICU,5,HHS Region,14.43
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.46
202312,2022-23,Influenza Hospital Admissions,6,HHS Region,198
202312,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,119.57
202312,2022-23,Average patients with influenza in ICU,6,HHS Region,19.14
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.38
202312,2022-23,Influenza Hospital Admissions,7,HHS Region,54
202312,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,30
202312,2022-23,Average patients with influenza in ICU,7,HHS Region,5.43
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.21
202312,2022-23,Influenza Hospital Admissions,8,HHS Region,26
202312,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,28.29
202312,2022-23,Average patients with influenza in ICU,8,HHS Region,2.43
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.16
202312,2022-23,Influenza Hospital Admissions,9,HHS Region,81
202312,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,95.29
202312,2022-23,Average patients with influenza in ICU,9,HHS Region,10.43
202312,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.24
202312,2022-23,Influenza Hospital Admissions,10,HHS Region,34
202312,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,37.29
202312,2022-23,Average patients with influenza in ICU,10,HHS Region,2.71
202313,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.26
202313,2022-23,Influenza Hospital Admissions,1,HHS Region,38
202313,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,38.71
202313,2022-23,Average patients with influenza in ICU,1,HHS Region,2.71
202313,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.48
202313,2022-23,Influenza Hospital Admissions,2,HHS Region,153
202313,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,109.29
202313,2022-23,Average patients with influenza in ICU,2,HHS Region,13.86
202313,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.59
202313,2022-23,Influenza Hospital Admissions,3,HHS Region,181
202313,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,124.43
202313,2022-23,Average patients with influenza in ICU,3,HHS Region,19.43
202313,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.54
202313,2022-23,Influenza Hospital Admissions,4,HHS Region,358
202313,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,347.14
202313,2022-23,Average patients with influenza in ICU,4,HHS Region,110.43
202323,2022-23,Influenza Hospital Admissions,7,HHS Region,18
202323,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,15.71
202323,2022-23,Average patients with influenza in ICU,7,HHS Region,1.86
202323,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.1
202323,2022-23,Influenza Hospital Admissions,8,HHS Region,12
202323,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,10.71
202323,2022-23,Average patients with influenza in ICU,8,HHS Region,1.86
202323,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.24
202323,2022-23,Influenza Hospital Admissions,9,HHS Region,122
202323,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,70.57
202323,2022-23,Average patients with influenza in ICU,9,HHS Region,8.14
202323,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.24
202323,2022-23,Influenza Hospital Admissions,10,HHS Region,35
202323,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,23.86
202323,2022-23,Average patients with influenza in ICU,10,HHS Region,1
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.15
202324,2022-23,Influenza Hospital Admissions,1,HHS Region,22
202324,2022-23,Influenza Hospitalization (Avg 7 Day),1,HHS Region,17.57
202324,2022-23,Average patients with influenza in ICU,1,HHS Region,1.57
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.28
202324,2022-23,Influenza Hospital Admissions,2,HHS Region,89
202324,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,75.57
202324,2022-23,Average patients with influenza in ICU,2,HHS Region,6
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.3
202324,2022-23,Influenza Hospital Admissions,3,HHS Region,92
202324,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,66.43
202324,2022-23,Average patients with influenza in ICU,3,HHS Region,10.43
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.42
202324,2022-23,Influenza Hospital Admissions,4,HHS Region,280
202324,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,305.29
202324,2022-23,Average patients with influenza in ICU,4,HHS Region,99.29
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.13
202324,2022-23,Influenza Hospital Admissions,5,HHS Region,67
202324,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,74.57
202324,2022-23,Average patients with influenza in ICU,5,HHS Region,7.43
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.29
202324,2022-23,Influenza Hospital Admissions,6,HHS Region,124
202324,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,70.43
202324,2022-23,Average patients with influenza in ICU,6,HHS Region,13
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.11
202324,2022-23,Influenza Hospital Admissions,7,HHS Region,15
202324,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,14.71
202324,2022-23,Average patients with influenza in ICU,7,HHS Region,2.71
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.14
202324,2022-23,Influenza Hospital Admissions,8,HHS Region,17
202324,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,15
202324,2022-23,Average patients with influenza in ICU,8,HHS Region,2.71
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.2
202324,2022-23,Influenza Hospital Admissions,9,HHS Region,101
202324,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,75.29
202324,2022-23,Average patients with influenza in ICU,9,HHS Region,11.57
202324,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.21
202324,2022-23,Influenza Hospital Admissions,10,HHS Region,30
202324,2022-23,Influenza Hospitalization (Avg 7 Day),10,HHS Region,22.43
202324,2022-23,Average patients with influenza in ICU,10,HHS Region,0.14
202307,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.42
202313,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.25
202325,2022-23,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.07
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.37
202338,2022-23,Influenza Hospital Admissions,2,HHS Region,117
202338,2022-23,Influenza Hospitalization (Avg 7 Day),2,HHS Region,93
202338,2022-23,Average patients with influenza in ICU,2,HHS Region,2.86
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.3
202338,2022-23,Influenza Hospital Admissions,3,HHS Region,92
202338,2022-23,Influenza Hospitalization (Avg 7 Day),3,HHS Region,60.14
202338,2022-23,Average patients with influenza in ICU,3,HHS Region,12.57
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.45
202338,2022-23,Influenza Hospital Admissions,4,HHS Region,302
202338,2022-23,Influenza Hospitalization (Avg 7 Day),4,HHS Region,299.86
202338,2022-23,Average patients with influenza in ICU,4,HHS Region,104.43
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.11
202338,2022-23,Influenza Hospital Admissions,5,HHS Region,59
202338,2022-23,Influenza Hospitalization (Avg 7 Day),5,HHS Region,72.71
202338,2022-23,Average patients with influenza in ICU,5,HHS Region,8.86
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.34
202338,2022-23,Influenza Hospital Admissions,6,HHS Region,146
202338,2022-23,Influenza Hospitalization (Avg 7 Day),6,HHS Region,87.43
202338,2022-23,Average patients with influenza in ICU,6,HHS Region,10.29
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.18
202338,2022-23,Influenza Hospital Admissions,7,HHS Region,26
202338,2022-23,Influenza Hospitalization (Avg 7 Day),7,HHS Region,12.57
202338,2022-23,Average patients with influenza in ICU,7,HHS Region,2.71
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.11
202338,2022-23,Influenza Hospital Admissions,8,HHS Region,14
202338,2022-23,Influenza Hospitalization (Avg 7 Day),8,HHS Region,11
202338,2022-23,Average patients with influenza in ICU,8,HHS Region,0.86
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.13
202338,2022-23,Influenza Hospital Admissions,9,HHS Region,68
202338,2022-23,Influenza Hospitalization (Avg 7 Day),9,HHS Region,69.57
202338,2022-23,Average patients with influenza in ICU,9,HHS Region,5.14
202338,2022-23,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.13
