COVID-19_Season,Week_ID,Current_Season_Week_Ending_Label,MMWR_Week_Order,MMWR_Year,MMWR_Week,MMWR_Day,Setting,Doses,Cumulative_Doses,Location_and_Flu_Season_Order,Current_Through,Age_Group
2023-2024,10/14/2023 12:00:00 AM,10/12/2024 12:00:00 AM,7,2023,41,7,Physician Medical Office,28611,55906,38,01/25/2025 12:00:00 AM,75+
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8,2023,42,7,Physician Medical Office,189624,459570,38,01/25/2025 12:00:00 AM,18+
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8,2023,42,7,Physician Medical Office,52597,131622,38,01/25/2025 12:00:00 AM,18-49
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8,2023,42,7,Physician Medical Office,101573,257429,38,01/25/2025 12:00:00 AM,18-64
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8,2023,42,7,Physician Medical Office,48976,125808,38,01/25/2025 12:00:00 AM,50-64
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8,2023,42,7,Physician Medical Office,60183,151859,38,01/25/2025 12:00:00 AM,60-74
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8,2023,42,7,Physician Medical Office,88051,202140,38,01/25/2025 12:00:00 AM,65+
2023-2024,10/21/2023 12:00:00 AM,10/19/2024 12:00:00 AM,8,2023,42,7,Physician Medical Office,49081,104987,38,01/25/2025 12:00:00 AM,75+
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9,2023,43,7,Physician Medical Office,208519,668089,38,01/25/2025 12:00:00 AM,18+
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9,2023,43,7,Physician Medical Office,57884,189506,38,01/25/2025 12:00:00 AM,18-49
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9,2023,43,7,Physician Medical Office,111865,369294,38,01/25/2025 12:00:00 AM,18-64
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9,2023,43,7,Physician Medical Office,53981,179789,38,01/25/2025 12:00:00 AM,50-64
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9,2023,43,7,Physician Medical Office,65821,217680,38,01/25/2025 12:00:00 AM,60-74
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9,2023,43,7,Physician Medical Office,96653,298793,38,01/25/2025 12:00:00 AM,65+
2023-2024,10/28/2023 12:00:00 AM,10/26/2024 12:00:00 AM,9,2023,43,7,Physician Medical Office,53797,158784,38,01/25/2025 12:00:00 AM,75+
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10,2023,44,7,Physician Medical Office,191775,859864,38,01/25/2025 12:00:00 AM,18+
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10,2023,44,7,Physician Medical Office,55905,245411,38,01/25/2025 12:00:00 AM,18-49
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10,2023,44,7,Physician Medical Office,109217,478511,38,01/25/2025 12:00:00 AM,18-64
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10,2023,44,7,Physician Medical Office,53312,233101,38,01/25/2025 12:00:00 AM,50-64
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10,2023,44,7,Physician Medical Office,63934,281614,38,01/25/2025 12:00:00 AM,60-74
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10,2023,44,7,Physician Medical Office,82557,381350,38,01/25/2025 12:00:00 AM,65+
2023-2024,11/04/2023 12:00:00 AM,11/02/2024 12:00:00 AM,10,2023,44,7,Physician Medical Office,41594,200378,38,01/25/2025 12:00:00 AM,75+
2023-2024,11/11/2023 12:00:00 AM,11/09/2024 12:00:00 AM,11,2023,45,7,Physician Medical Office,186352,1046216,38,01/25/2025 12:00:00 AM,18+
2023-2024,11/11/2023 12:00:00 AM,11/09/2024 12:00:00 AM,11,2023,45,7,Physician Medical Office,56862,302273,38,01/25/2025 12:00:00 AM,18-49
2023-2024,11/11/2023 12:00:00 AM,11/09/2024 12:00:00 AM,11,2023,45,7,Physician Medical Office,109305,587816,38,01/25/2025 12:00:00 AM,18-64
2023-2024,11/11/2023 12:00:00 AM,11/09/2024 12:00:00 AM,11,2023,45,7,Physician Medical Office,52443,285544,38,01/25/2025 12:00:00 AM,50-64
2023-2024,11/11/2023 12:00:00 AM,11/09/2024 12:00:00 AM,11,2023,45,7,Physician Medical Office,61994,343608,38,01/25/2025 12:00:00 AM,60-74
2023-2024,11/11/2023 12:00:00 AM,11/09/2024 12:00:00 AM,11,2023,45,7,Physician Medical Office,77047,458397,38,01/25/2025 12:00:00 AM,65+
2023-2024,11/11/2023 12:00:00 AM,11/09/2024 12:00:00 AM,11,2023,45,7,Physician Medical Office,37562,237940,38,01/25/2025 12:00:00 AM,75+
2023-2024,11/18/2023 12:00:00 AM,11/16/2024 12:00:00 AM,12,2023,46,7,Physician Medical Office,175668,1221884,38,01/25/2025 12:00:00 AM,18+
2023-2024,11/18/2023 12:00:00 AM,11/16/2024 12:00:00 AM,12,2023,46,7,Physician Medical Office,54067,356340,38,01/25/2025 12:00:00 AM,18-49
2023-2024,11/18/2023 12:00:00 AM,11/16/2024 12:00:00 AM,12,2023,46,7,Physician Medical Office,103525,691341,38,01/25/2025 12:00:00 AM,18-64
2023-2024,11/18/2023 12:00:00 AM,11/16/2024 12:00:00 AM,12,2023,46,7,Physician Medical Office,49458,335002,38,01/25/2025 12:00:00 AM,50-64
2023-2024,11/18/2023 12:00:00 AM,11/16/2024 12:00:00 AM,12,2023,46,7,Physician Medical Office,60711,404319,38,01/25/2025 12:00:00 AM,60-74
2023-2024,11/18/2023 12:00:00 AM,11/16/2024 12:00:00 AM,12,2023,46,7,Physician Medical Office,72143,530540,38,01/25/2025 12:00:00 AM,65+
2023-2024,11/18/2023 12:00:00 AM,11/16/2024 12:00:00 AM,12,2023,46,7,Physician Medical Office,33501,271441,38,01/25/2025 12:00:00 AM,75+
2023-2024,11/25/2023 12:00:00 AM,11/23/2024 12:00:00 AM,13,2023,47,7,Physician Medical Office,102225,1324109,38,01/25/2025 12:00:00 AM,18+
2023-2024,11/25/2023 12:00:00 AM,11/23/2024 12:00:00 AM,13,2023,47,7,Physician Medical Office,37376,393716,38,01/25/2025 12:00:00 AM,18-49
2023-2024,11/25/2023 12:00:00 AM,11/23/2024 12:00:00 AM,13,2023,47,7,Physician Medical Office,65996,757337,38,01/25/2025 12:00:00 AM,18-64
2023-2024,11/25/2023 12:00:00 AM,11/23/2024 12:00:00 AM,13,2023,47,7,Physician Medical Office,28620,363622,38,01/25/2025 12:00:00 AM,50-64
2023-2024,11/25/2023 12:00:00 AM,11/23/2024 12:00:00 AM,13,2023,47,7,Physician Medical Office,31259,435578,38,01/25/2025 12:00:00 AM,60-74
2023-2024,11/25/2023 12:00:00 AM,11/23/2024 12:00:00 AM,13,2023,47,7,Physician Medical Office,36229,566769,38,01/25/2025 12:00:00 AM,65+
2023-2024,11/25/2023 12:00:00 AM,11/23/2024 12:00:00 AM,13,2023,47,7,Physician Medical Office,16915,288356,38,01/25/2025 12:00:00 AM,75+
2023-2024,12/02/2023 12:00:00 AM,11/30/2024 12:00:00 AM,14,2023,48,7,Physician Medical Office,141610,1465719,38,01/25/2025 12:00:00 AM,18+
2023-2024,12/02/2023 12:00:00 AM,11/30/2024 12:00:00 AM,14,2023,48,7,Physician Medical Office,45948,439664,38,01/25/2025 12:00:00 AM,18-49
2023-2024,12/02/2023 12:00:00 AM,11/30/2024 12:00:00 AM,14,2023,48,7,Physician Medical Office,87587,844924,38,01/25/2025 12:00:00 AM,18-64
2023-2024,12/02/2023 12:00:00 AM,11/30/2024 12:00:00 AM,14,2023,48,7,Physician Medical Office,41639,405261,38,01/25/2025 12:00:00 AM,50-64
2023-2024,12/02/2023 12:00:00 AM,11/30/2024 12:00:00 AM,14,2023,48,7,Physician Medical Office,47113,482691,38,01/25/2025 12:00:00 AM,60-74
2023-2024,12/02/2023 12:00:00 AM,11/30/2024 12:00:00 AM,14,2023,48,7,Physician Medical Office,54023,620792,38,01/25/2025 12:00:00 AM,65+
2023-2024,12/02/2023 12:00:00 AM,11/30/2024 12:00:00 AM,14,2023,48,7,Physician Medical Office,24739,313095,38,01/25/2025 12:00:00 AM,75+
2023-2024,12/09/2023 12:00:00 AM,12/07/2024 12:00:00 AM,15,2023,49,7,Physician Medical Office,122485,1588204,38,01/25/2025 12:00:00 AM,18+
2023-2024,12/09/2023 12:00:00 AM,12/07/2024 12:00:00 AM,15,2023,49,7,Physician Medical Office,40268,479932,38,01/25/2025 12:00:00 AM,18-49
2023-2024,12/09/2023 12:00:00 AM,12/07/2024 12:00:00 AM,15,2023,49,7,Physician Medical Office,76182,921106,38,01/25/2025 12:00:00 AM,18-64
2023-2024,12/09/2023 12:00:00 AM,12/07/2024 12:00:00 AM,15,2023,49,7,Physician Medical Office,35913,441174,38,01/25/2025 12:00:00 AM,50-64
2023-2024,12/09/2023 12:00:00 AM,12/07/2024 12:00:00 AM,15,2023,49,7,Physician Medical Office,40368,523059,38,01/25/2025 12:00:00 AM,60-74
2023-2024,12/09/2023 12:00:00 AM,12/07/2024 12:00:00 AM,15,2023,49,7,Physician Medical Office,46303,667095,38,01/25/2025 12:00:00 AM,65+
2023-2024,12/09/2023 12:00:00 AM,12/07/2024 12:00:00 AM,15,2023,49,7,Physician Medical Office,20869,333964,38,01/25/2025 12:00:00 AM,75+
2023-2024,12/16/2023 12:00:00 AM,12/14/2024 12:00:00 AM,16,2023,50,7,Physician Medical Office,112670,1700874,38,01/25/2025 12:00:00 AM,18+
2023-2024,12/16/2023 12:00:00 AM,12/14/2024 12:00:00 AM,16,2023,50,7,Physician Medical Office,37731,517663,38,01/25/2025 12:00:00 AM,18-49
2023-2024,12/16/2023 12:00:00 AM,12/14/2024 12:00:00 AM,16,2023,50,7,Physician Medical Office,71964,993070,38,01/25/2025 12:00:00 AM,18-64
2023-2024,12/16/2023 12:00:00 AM,12/14/2024 12:00:00 AM,16,2023,50,7,Physician Medical Office,34233,475407,38,01/25/2025 12:00:00 AM,50-64
2023-2024,12/16/2023 12:00:00 AM,12/14/2024 12:00:00 AM,16,2023,50,7,Physician Medical Office,37123,560182,38,01/25/2025 12:00:00 AM,60-74
2023-2024,12/16/2023 12:00:00 AM,12/14/2024 12:00:00 AM,16,2023,50,7,Physician Medical Office,40705,707800,38,01/25/2025 12:00:00 AM,65+
2023-2024,12/16/2023 12:00:00 AM,12/14/2024 12:00:00 AM,16,2023,50,7,Physician Medical Office,17865,351829,38,01/25/2025 12:00:00 AM,75+
2023-2024,12/23/2023 12:00:00 AM,12/21/2024 12:00:00 AM,17,2023,51,7,Physician Medical Office,100656,1801530,38,01/25/2025 12:00:00 AM,18+
2023-2024,12/23/2023 12:00:00 AM,12/21/2024 12:00:00 AM,17,2023,51,7,Physician Medical Office,38624,556287,38,01/25/2025 12:00:00 AM,18-49
2023-2024,12/23/2023 12:00:00 AM,12/21/2024 12:00:00 AM,17,2023,51,7,Physician Medical Office,67844,1060914,38,01/25/2025 12:00:00 AM,18-64
2023-2024,12/23/2023 12:00:00 AM,12/21/2024 12:00:00 AM,17,2023,51,7,Physician Medical Office,29219,504626,38,01/25/2025 12:00:00 AM,50-64
2023-2024,12/23/2023 12:00:00 AM,12/21/2024 12:00:00 AM,17,2023,51,7,Physician Medical Office,30891,591073,38,01/25/2025 12:00:00 AM,60-74
2023-2024,12/23/2023 12:00:00 AM,12/21/2024 12:00:00 AM,17,2023,51,7,Physician Medical Office,32812,740612,38,01/25/2025 12:00:00 AM,65+
2023-2024,12/23/2023 12:00:00 AM,12/21/2024 12:00:00 AM,17,2023,51,7,Physician Medical Office,13921,365750,38,01/25/2025 12:00:00 AM,75+
2023-2024,12/30/2023 12:00:00 AM,12/28/2024 12:00:00 AM,18,2023,52,7,Physician Medical Office,52975,1854505,38,01/25/2025 12:00:00 AM,18+
2023-2024,12/30/2023 12:00:00 AM,12/28/2024 12:00:00 AM,18,2023,52,7,Physician Medical Office,20708,576995,38,01/25/2025 12:00:00 AM,18-49
2023-2024,12/30/2023 12:00:00 AM,12/28/2024 12:00:00 AM,18,2023,52,7,Physician Medical Office,36695,1097609,38,01/25/2025 12:00:00 AM,18-64
2023-2024,12/30/2023 12:00:00 AM,12/28/2024 12:00:00 AM,18,2023,52,7,Physician Medical Office,15987,520613,38,01/25/2025 12:00:00 AM,50-64
2023-2024,12/30/2023 12:00:00 AM,12/28/2024 12:00:00 AM,18,2023,52,7,Physician Medical Office,15368,606441,38,01/25/2025 12:00:00 AM,60-74
2023-2024,12/30/2023 12:00:00 AM,12/28/2024 12:00:00 AM,18,2023,52,7,Physician Medical Office,16280,756892,38,01/25/2025 12:00:00 AM,65+
2023-2024,12/30/2023 12:00:00 AM,12/28/2024 12:00:00 AM,18,2023,52,7,Physician Medical Office,7115,372865,38,01/25/2025 12:00:00 AM,75+
2023-2024,01/06/2024 12:00:00 AM,01/04/2025 12:00:00 AM,20,2024,1,7,Physician Medical Office,64958,1919463,38,01/25/2025 12:00:00 AM,18+
2023-2024,01/06/2024 12:00:00 AM,01/04/2025 12:00:00 AM,20,2024,1,7,Physician Medical Office,25792,602787,38,01/25/2025 12:00:00 AM,18-49
2023-2024,01/06/2024 12:00:00 AM,01/04/2025 12:00:00 AM,20,2024,1,7,Physician Medical Office,42952,1140561,38,01/25/2025 12:00:00 AM,18-64
2023-2024,01/06/2024 12:00:00 AM,01/04/2025 12:00:00 AM,20,2024,1,7,Physician Medical Office,17160,537773,38,01/25/2025 12:00:00 AM,50-64
2023-2024,01/06/2024 12:00:00 AM,01/04/2025 12:00:00 AM,20,2024,1,7,Physician Medical Office,19020,625461,38,01/25/2025 12:00:00 AM,60-74
2023-2024,01/06/2024 12:00:00 AM,01/04/2025 12:00:00 AM,20,2024,1,7,Physician Medical Office,22006,778898,38,01/25/2025 12:00:00 AM,65+
2023-2024,01/06/2024 12:00:00 AM,01/04/2025 12:00:00 AM,20,2024,1,7,Physician Medical Office,10090,382955,38,01/25/2025 12:00:00 AM,75+
2023-2024,01/13/2024 12:00:00 AM,01/11/2025 12:00:00 AM,21,2024,2,7,Physician Medical Office,74681,1994144,38,01/25/2025 12:00:00 AM,18+
2023-2024,01/13/2024 12:00:00 AM,01/11/2025 12:00:00 AM,21,2024,2,7,Physician Medical Office,29413,632200,38,01/25/2025 12:00:00 AM,18-49
2023-2024,01/13/2024 12:00:00 AM,01/11/2025 12:00:00 AM,21,2024,2,7,Physician Medical Office,49712,1190273,38,01/25/2025 12:00:00 AM,18-64
2023-2024,01/13/2024 12:00:00 AM,01/11/2025 12:00:00 AM,21,2024,2,7,Physician Medical Office,20299,558072,38,01/25/2025 12:00:00 AM,50-64
2023-2024,01/13/2024 12:00:00 AM,01/11/2025 12:00:00 AM,21,2024,2,7,Physician Medical Office,22081,647542,38,01/25/2025 12:00:00 AM,60-74
2023-2024,01/13/2024 12:00:00 AM,01/11/2025 12:00:00 AM,21,2024,2,7,Physician Medical Office,24969,803867,38,01/25/2025 12:00:00 AM,65+
2023-2024,01/13/2024 12:00:00 AM,01/11/2025 12:00:00 AM,21,2024,2,7,Physician Medical Office,10895,393850,38,01/25/2025 12:00:00 AM,75+
2023-2024,01/20/2024 12:00:00 AM,01/18/2025 12:00:00 AM,22,2024,3,7,Physician Medical Office,54167,2048311,38,01/25/2025 12:00:00 AM,18+
2023-2024,01/20/2024 12:00:00 AM,01/18/2025 12:00:00 AM,22,2024,3,7,Physician Medical Office,21028,653228,38,01/25/2025 12:00:00 AM,18-49
2023-2024,01/20/2024 12:00:00 AM,01/18/2025 12:00:00 AM,22,2024,3,7,Physician Medical Office,36021,1226294,38,01/25/2025 12:00:00 AM,18-64
2023-2024,01/20/2024 12:00:00 AM,01/18/2025 12:00:00 AM,22,2024,3,7,Physician Medical Office,14993,573065,38,01/25/2025 12:00:00 AM,50-64
2023-2024,01/20/2024 12:00:00 AM,01/18/2025 12:00:00 AM,22,2024,3,7,Physician Medical Office,16630,664172,38,01/25/2025 12:00:00 AM,60-74
2023-2024,01/20/2024 12:00:00 AM,01/18/2025 12:00:00 AM,22,2024,3,7,Physician Medical Office,18147,822014,38,01/25/2025 12:00:00 AM,65+
2023-2024,01/20/2024 12:00:00 AM,01/18/2025 12:00:00 AM,22,2024,3,7,Physician Medical Office,7764,401614,38,01/25/2025 12:00:00 AM,75+
2023-2024,01/27/2024 12:00:00 AM,01/25/2025 12:00:00 AM,23,2024,4,7,Physician Medical Office,57586,2105897,38,01/25/2025 12:00:00 AM,18+
2023-2024,01/27/2024 12:00:00 AM,01/25/2025 12:00:00 AM,23,2024,4,7,Physician Medical Office,22711,675939,38,01/25/2025 12:00:00 AM,18-49
2023-2024,01/27/2024 12:00:00 AM,01/25/2025 12:00:00 AM,23,2024,4,7,Physician Medical Office,38472,1264766,38,01/25/2025 12:00:00 AM,18-64
2023-2024,01/27/2024 12:00:00 AM,01/25/2025 12:00:00 AM,23,2024,4,7,Physician Medical Office,15761,588826,38,01/25/2025 12:00:00 AM,50-64
2023-2024,01/27/2024 12:00:00 AM,01/25/2025 12:00:00 AM,23,2024,4,7,Physician Medical Office,16147,680319,38,01/25/2025 12:00:00 AM,60-74
2023-2024,01/27/2024 12:00:00 AM,01/25/2025 12:00:00 AM,23,2024,4,7,Physician Medical Office,19114,841128,38,01/25/2025 12:00:00 AM,65+
2023-2024,01/27/2024 12:00:00 AM,01/25/2025 12:00:00 AM,23,2024,4,7,Physician Medical Office,8976,410590,38,01/25/2025 12:00:00 AM,75+
2023-2024,02/03/2024 12:00:00 AM,02/01/2025 12:00:00 AM,24,2024,5,7,Physician Medical Office,54044,2159941,38,01/25/2025 12:00:00 AM,18+
2023-2024,02/03/2024 12:00:00 AM,02/01/2025 12:00:00 AM,24,2024,5,7,Physician Medical Office,21700,697639,38,01/25/2025 12:00:00 AM,18-49
2023-2024,02/03/2024 12:00:00 AM,02/01/2025 12:00:00 AM,24,2024,5,7,Physician Medical Office,36734,1301500,38,01/25/2025 12:00:00 AM,18-64
2023-2024,02/03/2024 12:00:00 AM,02/01/2025 12:00:00 AM,24,2024,5,7,Physician Medical Office,15034,603860,38,01/25/2025 12:00:00 AM,50-64
2023-2024,02/03/2024 12:00:00 AM,02/01/2025 12:00:00 AM,24,2024,5,7,Physician Medical Office,15337,695656,38,01/25/2025 12:00:00 AM,60-74
2023-2024,02/03/2024 12:00:00 AM,02/01/2025 12:00:00 AM,24,2024,5,7,Physician Medical Office,17309,858437,38,01/25/2025 12:00:00 AM,65+
2023-2024,02/03/2024 12:00:00 AM,02/01/2025 12:00:00 AM,24,2024,5,7,Physician Medical Office,8015,418605,38,01/25/2025 12:00:00 AM,75+
2023-2024,02/10/2024 12:00:00 AM,02/08/2025 12:00:00 AM,25,2024,6,7,Physician Medical Office,49587,2209528,38,01/25/2025 12:00:00 AM,18+
2023-2024,02/10/2024 12:00:00 AM,02/08/2025 12:00:00 AM,25,2024,6,7,Physician Medical Office,20246,717885,38,01/25/2025 12:00:00 AM,18-49
2023-2024,02/10/2024 12:00:00 AM,02/08/2025 12:00:00 AM,25,2024,6,7,Physician Medical Office,33613,1335113,38,01/25/2025 12:00:00 AM,18-64
2023-2024,02/10/2024 12:00:00 AM,02/08/2025 12:00:00 AM,25,2024,6,7,Physician Medical Office,13368,617228,38,01/25/2025 12:00:00 AM,50-64
2023-2024,02/10/2024 12:00:00 AM,02/08/2025 12:00:00 AM,25,2024,6,7,Physician Medical Office,14516,710172,38,01/25/2025 12:00:00 AM,60-74
2023-2024,02/10/2024 12:00:00 AM,02/08/2025 12:00:00 AM,25,2024,6,7,Physician Medical Office,15974,874411,38,01/25/2025 12:00:00 AM,65+
2023-2024,02/10/2024 12:00:00 AM,02/08/2025 12:00:00 AM,25,2024,6,7,Physician Medical Office,6983,425588,38,01/25/2025 12:00:00 AM,75+
2023-2024,02/17/2024 12:00:00 AM,02/15/2025 12:00:00 AM,26,2024,7,7,Physician Medical Office,38409,2247937,38,01/25/2025 12:00:00 AM,18+
2023-2024,02/17/2024 12:00:00 AM,02/15/2025 12:00:00 AM,26,2024,7,7,Physician Medical Office,15621,733506,38,01/25/2025 12:00:00 AM,18-49
2023-2024,02/17/2024 12:00:00 AM,02/15/2025 12:00:00 AM,26,2024,7,7,Physician Medical Office,26249,1361362,38,01/25/2025 12:00:00 AM,18-64
2023-2024,02/17/2024 12:00:00 AM,02/15/2025 12:00:00 AM,26,2024,7,7,Physician Medical Office,10628,627856,38,01/25/2025 12:00:00 AM,50-64
2023-2024,02/17/2024 12:00:00 AM,02/15/2025 12:00:00 AM,26,2024,7,7,Physician Medical Office,10927,721099,38,01/25/2025 12:00:00 AM,60-74
2023-2024,02/17/2024 12:00:00 AM,02/15/2025 12:00:00 AM,26,2024,7,7,Physician Medical Office,12160,886571,38,01/25/2025 12:00:00 AM,65+
2023-2024,02/17/2024 12:00:00 AM,02/15/2025 12:00:00 AM,26,2024,7,7,Physician Medical Office,5464,431052,38,01/25/2025 12:00:00 AM,75+
2023-2024,02/24/2024 12:00:00 AM,02/22/2025 12:00:00 AM,27,2024,8,7,Physician Medical Office,22927,2270864,38,01/25/2025 12:00:00 AM,18+
2023-2024,02/24/2024 12:00:00 AM,02/22/2025 12:00:00 AM,27,2024,8,7,Physician Medical Office,8851,742357,38,01/25/2025 12:00:00 AM,18-49
2023-2024,02/24/2024 12:00:00 AM,02/22/2025 12:00:00 AM,27,2024,8,7,Physician Medical Office,15228,1376590,38,01/25/2025 12:00:00 AM,18-64
