Current_season,Month,Previous_covid_Season,Jurisdiction,2024_25_estimate,Previous_Estimate,Difference_in_season_estimate,Numerator,Previous_season_numerator,Population,Age_group_label,Difference_indicator,Child_or_adult
2024-25,DEC,2023-24,Idaho,0.0191,0.0178,0.0013,"8,408","7,821",440269.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Illinois,0.0466,0.0456,0.001,"126,234","123,446",2707942,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Indiana,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Kansas,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Kentucky,0.0193,0.0174,0.0019,"18,822","16,995",975661.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Louisiana,0.0053,0.0047,0.0006,"5,607","4,942",1052713,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Massachusetts,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Maine,0.0725,0.0528,0.0197,"17,541","12,770",242032,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Marshall Islands,0.0161,0.0025,0.0135,471,74,29342,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Michigan,0.04,0.0385,0.0015,"82,939","79,751",2072888.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Minnesota,0.0946,0.084,0.0106,"120,005","106,567",1268024,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Missouri,0.0295,0.0266,0.0029,"39,375","35,485",1335604.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,N. Mariana Islands,0.0062,0.0065,-0.0003,95,100,15392.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Mississippi,0.0034,0.0035,-0,"2,326","2,337",675423.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Montana,0.0353,0.0293,0.006,"7,909","6,564",224000.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,North Carolina,0.0309,0.0282,0.0027,"69,504","63,417",2247245.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,North Dakota,0.0367,0.0288,0.0079,"6,471","5,072",176399.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Nebraska,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,New Hampshire,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,New Jersey,0.0237,0.0275,-0.0039,"44,608","51,875",1884782,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New Mexico,0.0459,0.0412,0.0046,"21,157","19,018",461203,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Nevada,0.0137,0.0139,-0.0002,"9,298","9,441",679728,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New York,0.0306,0.0301,0.0005,"68,486","67,415",2237082,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Ohio,0.0291,0.0277,0.0014,"72,846","69,281",2502483,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Oklahoma,0.0096,0.0107,-0.0011,"8,904","9,958",929182.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Oregon,0.0856,0.0807,0.0049,"71,892","67,770",839769,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Pennsylvania,0.0338,0.0362,-0.0024,"75,330","80,592",2225691,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Philadelphia,0.0408,0.0334,0.0073,"13,399","10,989",328538.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Puerto Rico,0.0012,0.0017,-0.0006,638,968,553690.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Rhode Island,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Republic of Palau,0,0,0,0,0,4829.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,South Carolina,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,South Dakota,0.0332,0.0297,0.0034,"7,050","6,317",212574,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Houston,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Tennessee,0.0152,0.0141,0.0012,"22,443","20,726",1473455.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Texas,0.0142,0.0196,-0.0054,"102,803","142,291",7246622.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Utah,0.0408,0.035,0.0058,"36,940","31,733",905560.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Virginia,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,U.S. Virgin Islands ,0.0007,0.0004,0.0003,16,9,24141,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Vermont,0.1478,0.1341,0.0138,"16,336","14,814",110501,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Washington,0.084,0.0784,0.0056,"136,337","127,285",1622553.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Wisconsin,0.0571,0.0488,0.0084,"70,129","59,877",1227144.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,West Virginia,0.0078,0.0078,0,"2,712","2,701",347543.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Wyoming,0.0138,0.0134,0.0004,"1,793","1,744",129929.5,6 months-17 years,Within 5 percentage points,Child
2024-25,JUL,2023-24,Alaska,0.0016,0,0.0016,"1,141",0,726305,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Alabama,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Arkansas,0.0005,3.9834e-06,0.0005,"1,382",12,3012504.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,American Samoa,0.0001,0,0.0001,4,0,46976.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Arizona,0.0017,1.3549e-07,0.0017,"12,250",1,7380696.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,New York City,0.0013,0,0.0013,"10,610",0,8200096,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,California,0.0037,2.2992e-07,0.0037,"142,891",9,39144646,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Chicago,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Colorado,0.0025,5.1937e-07,0.0025,"14,516",3,5776181,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Connecticut,0.0019,8.4748e-07,0.0019,"6,867",3,3539890,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,District of Columbia,0.0025,1.412e-06,0.0025,"1,798",1,708203.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Delaware,0.0017,0,0.0017,"1,712",0,981560.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Florida,0.0018,0,0.0018,"39,196",0,21623533,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Federated States of Micronesia,0.0021,0,0.0021,217,0,101371,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Georgia,0.0011,1.8784e-07,0.0011,"11,782",2,10647521,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Guam,0.0002,0,0.0002,29,0,166917,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Iowa,0.0014,0,0.0014,"4,410",0,3145074,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Idaho,0.0016,0.0017,-0.0001,"2,894","3,124",1816139.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Illinois,0.0017,7.1899e-07,0.0017,"21,445",9,12517504,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Indiana,0.001,4.4678e-07,0.001,"6,638",3,6714728,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Kansas,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Kentucky,0.0009,1.348e-06,0.0009,"3,921",6,4450995.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Louisiana,0.0008,1.2996e-06,0.0008,"3,514",6,4616751,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Massachusetts,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Maine,0.0022,0,0.0022,"2,979",0,1344005,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Marshall Islands,0.0018,0,0.0018,140,0,76871,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Michigan,0,0,0,0,0,9912630.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Minnesota,0.0026,0,0.0026,"14,791",0,5624147,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Missouri,0.0011,6.5405e-07,0.0011,"6,663",4,6115723.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,N. Mariana Islands,0.0014,0,0.0014,72,0,51467.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Mississippi,0.0005,6.7818e-07,0.0005,"1,334",2,2949076.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Montana,0.0014,0,0.0014,"1,543",0,1074894.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,North Carolina,0,2.8458e-07,-2.8458e-07,0,3,10541669,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,North Dakota,0.0007,0,0.0007,508,0,760079.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Nebraska,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,New Hampshire,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,New Jersey,0.0013,0,0.0013,"11,580",0,8832618,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,New Mexico,0.0023,9.5464e-07,0.0023,"4,885",2,2095031,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Nevada,0.0013,6.4094e-07,0.0013,"4,200",2,3120407,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,New York,0.0011,7.2555e-07,0.0011,"12,572",8,11026194,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Ohio,0,0,0,0,0,11627059,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Oklahoma,0.0007,1.011e-06,0.0007,"2,945",4,3956445.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Oregon,0.0039,0.0043,-0.0004,"16,484","18,136",4220498,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Pennsylvania,0.0011,6.2789e-07,0.0011,"12,777",7,11148453,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Philadelphia,0.0018,2.5506e-06,0.0018,"2,822",4,1568273.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Puerto Rico,0.0004,3.1468e-07,0.0004,"1,158",1,3177862.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Rhode Island,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Republic of Palau,0,0,0,0,0,21412.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,South Carolina,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,South Dakota,0.001,3.3829e-06,0.001,882,3,886812,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Houston,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Tennessee,0.0007,0,0.0007,"4,838",0,6846888.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Texas,0.0006,0.0013,-0.0007,"16,111","37,323",29172250,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Utah,0.001,6.1993e-07,0.001,"3,222",2,3226163.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Virginia,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,U.S. Virgin Islands ,0.0004,0,0.0004,45,0,105648,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Vermont,0.0018,0,0.0018,"1,125",0,620682,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Washington,0.0035,2.745e-06,0.0035,"26,506",21,7650371.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Wisconsin,0.0019,0,0.0019,"11,119",0,5801275.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,West Virginia,0.0006,5.6304e-07,0.0006,"1,033",1,1776063.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Wyoming,0.0007,0,0.0007,404,0,579166.5,Overall,Within 5 percentage points,All
2024-25,NOV,2023-24,Alaska,0.2833,0.2354,0.0479,"27,166","22,571",95876,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Alabama,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,Arkansas,0.1931,0.1861,0.007,"103,554","99,812",536306,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,American Samoa,0.0027,0,0.0027,9,0,3278,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Arizona,0.2244,0.1935,0.0309,"308,348","265,922",1373975,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,New York City,0.155,0.1513,0.0038,"202,906","197,958",1308751,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,California,0.3423,0.2827,0.0595,"2,045,346","1,689,667",5976166,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,NOV,2023-24,Chicago,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,Colorado,0.4136,0.5039,-0.0904,"362,431","441,643",876387,65+ years,Lower by 5 percentage points or greater,Adult
2024-25,NOV,2023-24,Connecticut,0.36,0.3526,0.0074,"232,545","227,788",645996,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,District of Columbia,0.2697,0.1875,0.0822,"24,231","16,845",89833,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,NOV,2023-24,Delaware,0.3755,0.3393,0.0362,"74,196","67,037",197594,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Florida,0.172,0.1654,0.0067,"797,856","767,000",4638094,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Federated States of Micronesia,0.0021,0.0006,0.0015,10,3,4812,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Georgia,0.1766,0.1372,0.0394,"278,113","216,089",1574667,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Guam,0.0107,0.0087,0.002,172,140,16061,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,Iowa,0.3885,0.3401,0.0484,"219,969","192,569",566136,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Idaho,0.2632,0.264,-0.0008,"80,543","80,794",305994,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Illinois,0.3248,0.2997,0.0252,"678,598","626,049",2089234,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Indiana,0.2762,0.2524,0.0239,"308,090","281,451",1115285,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Kansas,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,Kentucky,0.2286,0.2163,0.0123,"176,211","166,749",770835,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Louisiana,0.139,0.1021,0.0369,"106,180","77,974",763750,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Massachusetts,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,Maine,0.4306,0.3604,0.0702,"126,501","105,887",293776,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,NOV,2023-24,Marshall Islands,0.0005,0.0003,0.0003,2,1,3732,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Michigan,0.3222,0.2935,0.0287,"583,955","531,938",1812441,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Minnesota,0.4824,0.4207,0.0617,"457,736","399,188",948841,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,NOV,2023-24,Missouri,0.2816,0.2608,0.0208,"306,882","284,170",1089714,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,N. Mariana Islands,0.0373,0.0365,0.0008,140,137,3754,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Mississippi,0.1234,0.1036,0.0198,"61,705","51,818",499955,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Montana,0.2898,0.2625,0.0273,"61,835","56,010",213392,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,North Carolina,0.2203,0.2277,-0.0073,"399,805","413,140",1814542,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,North Dakota,0.3123,0.2853,0.0271,"38,461","35,127",123141,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Nebraska,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,New Hampshire,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,New Jersey,0.2295,0.2459,-0.0164,"346,626","371,329",1510028,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,New Mexico,0.3442,0.315,0.0292,"134,213","122,810",389911,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Nevada,0.2352,0.2201,0.0151,"122,121","114,289",519316,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,New York,0.2861,0.2816,0.0045,"589,646","580,407",2060818,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Ohio,0.2812,0.2655,0.0156,"589,758","557,018",2097638,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Oklahoma,0.1857,0.19,-0.0043,"121,308","124,123",653159,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Oregon,0.4041,0.3759,0.0282,"319,031","296,764",789527,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Pennsylvania,0.2829,0.271,0.0118,"628,182","601,920",2220720,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Philadelphia,0.209,0.1869,0.022,"47,434","42,430",226967,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Puerto Rico,0.0518,0.0479,0.0039,"36,123","33,398",697429,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Rhode Island,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,Republic of Palau,0.011,0,0.011,22,0,1992,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,South Carolina,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,South Dakota,0.3374,0.2938,0.0437,"53,033","46,172",157177,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Houston,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,Tennessee,0.2092,0.1809,0.0283,"246,948","213,586",1180543,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Texas,0.1221,0.1125,0.0096,"473,095","435,837",3873683,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Utah,0.3465,0.3068,0.0397,"132,230","117,082",381593,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Virginia,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,NOV,2023-24,U.S. Virgin Islands ,0.0295,0.0078,0.0217,604,159,20478,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Vermont,0.4621,0.3769,0.0851,"59,418","48,470",128594,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,NOV,2023-24,Washington,0.421,0.3775,0.0434,"525,315","471,099",1247874,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Wisconsin,0.4175,0.3683,0.0492,"437,468","385,947",1047935,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,West Virginia,0.1839,0.1633,0.0205,"68,693","61,017",373569,65+ years,Within 5 percentage points,Adult
2024-25,NOV,2023-24,Wyoming,0.2172,0.1925,0.0247,"22,543","19,982",103776,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Alaska,0.245,0.1799,0.0651,"23,485","17,248",95876,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,OCT,2023-24,Alabama,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,OCT,2023-24,Arkansas,0.1606,0.1322,0.0284,"86,144","70,915",536306,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,American Samoa,0.0018,0,0.0018,6,0,3278,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Arizona,0.1876,0.1404,0.0472,"257,782","192,886",1373975,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,New York City,0.1269,0.1118,0.015,"166,048","146,375",1308751,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,California,0.288,0.2044,0.0837,"1,721,421","1,221,344",5976166,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,OCT,2023-24,Chicago,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,OCT,2023-24,Colorado,0.3603,0.3214,0.0388,"315,728","281,699",876387,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Connecticut,0.3003,0.2638,0.0366,"194,004","170,392",645996,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,District of Columbia,0.2277,0.1885,0.0391,"20,452","16,938",89833,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Delaware,0.3138,0.2577,0.056,"62,002","50,929",197594,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,OCT,2023-24,Florida,0.1387,0.1274,0.0113,"643,201","590,942",4638094,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Federated States of Micronesia,0.0019,0,0.0019,9,0,4812,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Georgia,0.148,0.1285,0.0195,"233,091","202,376",1574667,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Guam,0.0082,0.0035,0.0046,131,57,16061,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,OCT,2023-24,Iowa,0.3137,0.2256,0.0881,"177,579","127,701",566136,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,OCT,2023-24,Idaho,0.2142,0.1971,0.0171,"65,547","60,308",305994,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Illinois,0.2651,0.2202,0.045,"553,868","459,954",2089234,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Indiana,0.2283,0.1823,0.0461,"254,667","203,307",1115285,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Kansas,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,OCT,2023-24,Kentucky,0.1899,0.1565,0.0335,"146,409","120,609",770835,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Louisiana,0.1143,0.0652,0.0491,"87,313","49,799",763750,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Massachusetts,,,,Not Submitted,Not Submitted,,65+ years,Not Available,Adult
2024-25,OCT,2023-24,Maine,0.3568,0.2379,0.1189,"104,822","69,894",293776,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,OCT,2023-24,Marshall Islands,0.0005,0.0003,0.0003,2,1,3732,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Michigan,0.2643,0.2088,0.0555,"479,118","378,443",1812441,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,OCT,2023-24,Minnesota,0.3965,0.3145,0.082,"376,222","298,422",948841,65+ years,Higher by 5 percentage points or greater,Adult
2024-25,OCT,2023-24,Missouri,0.2357,0.1911,0.0446,"256,851","208,296",1089714,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,N. Mariana Islands,0.0272,0.0109,0.0162,102,41,3754,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Mississippi,0.1035,0.073,0.0305,"51,733","36,504",499955,65+ years,Within 5 percentage points,Adult
2024-25,OCT,2023-24,Montana,0.2466,0.19,0.0566,"52,630","40,544",213392,65+ years,Higher by 5 percentage points or greater,Adult
