comparison_type,week_ending,current_season_week_ending_label,comparison_group_1,comparison_group_2,comparison_group1_point_estimate,comparison_group2_point_estimate,estimate_difference,difference_estimate_lower_95_ci,difference_estimate_upper_95_ci,significant_at_95_pct,comparison_group_1_sort_order,comparison_group_2_sort_order
,11/16/2024 12:00:00 AM,11/16/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",6.28,9.2,-2.92,-4.99,-0.85,*,15,18
,11/16/2024 12:00:00 AM,11/16/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",6.4,9.2,-2.8,-4.51,-1.08,*,16,18
,11/16/2024 12:00:00 AM,11/16/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",10.69,9.2,1.49,-0.22,3.2,,17,18
,11/16/2024 12:00:00 AM,11/16/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",6.28,10.69,-4.41,-6.08,-2.74,*,15,17
,11/16/2024 12:00:00 AM,11/16/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",6.4,10.69,-4.28,-5.49,-3.08,*,16,17
,01/25/2025 12:00:00 AM,01/25/2025 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",7.42,13.24,-5.82,-8.2,-3.45,*,15,18
,01/25/2025 12:00:00 AM,01/25/2025 12:00:00 AM,Hispanic,"Other, Non-Hispanic",10.7,13.24,-2.54,-4.95,-0.14,*,16,18
,01/25/2025 12:00:00 AM,01/25/2025 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",12.57,13.24,-0.67,-2.79,1.44,,17,18
,01/25/2025 12:00:00 AM,01/25/2025 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",7.42,12.57,-5.15,-6.77,-3.54,*,15,17
,01/25/2025 12:00:00 AM,01/25/2025 12:00:00 AM,Hispanic,"White, Non-Hispanic",10.7,12.57,-1.87,-3.53,-0.22,*,16,17
,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,6.79,7.12,-0.33,-2.37,1.71,,15,16
,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",6.79,10,-3.22,-5.55,-0.88,*,15,18
,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",7.12,10,-2.89,-5,-0.77,*,16,18
,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",10.76,10,0.76,-1.12,2.64,,17,18
,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",6.79,10.76,-3.98,-5.77,-2.18,*,15,17
,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",7.12,10.76,-3.65,-5.15,-2.15,*,16,17
,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,6.79,7.2,-0.41,-2.46,1.64,,15,16
,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",6.79,10.12,-3.34,-5.69,-0.99,*,15,18
,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",7.2,10.12,-2.93,-5.06,-0.79,*,16,18
,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",11.23,10.12,1.11,-0.83,3.04,,17,18
,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",6.79,11.23,-4.44,-6.28,-2.61,*,15,17
,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",7.2,11.23,-4.03,-5.59,-2.48,*,16,17
,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,5.18,6.39,-1.21,-2.49,0.07,,15,16
,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",5.18,8.75,-3.57,-5.3,-1.83,*,15,18
,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",6.39,8.75,-2.36,-4.04,-0.68,*,16,18
,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",9.11,8.75,0.35,-1.23,1.94,,17,18
,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",5.18,9.11,-3.92,-5.07,-2.78,*,15,17
,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",6.39,9.11,-2.71,-3.78,-1.65,*,16,17
,01/18/2025 12:00:00 AM,01/18/2025 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",7.42,13.06,-5.64,-7.99,-3.29,*,15,18
,01/18/2025 12:00:00 AM,01/18/2025 12:00:00 AM,Hispanic,"Other, Non-Hispanic",10.66,13.06,-2.39,-4.77,-0.02,*,16,18
,01/18/2025 12:00:00 AM,01/18/2025 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",12.46,13.06,-0.59,-2.66,1.48,,17,18
,01/18/2025 12:00:00 AM,01/18/2025 12:00:00 AM,"Black, Non-Hispanic",Hispanic,7.42,10.66,-3.24,-5.23,-1.26,*,15,16
,01/18/2025 12:00:00 AM,01/18/2025 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",7.42,12.46,-5.05,-6.65,-3.44,*,15,17
,01/18/2025 12:00:00 AM,01/18/2025 12:00:00 AM,Hispanic,"White, Non-Hispanic",10.66,12.46,-1.8,-3.44,-0.16,*,16,17
,01/25/2025 12:00:00 AM,01/25/2025 12:00:00 AM,"Black, Non-Hispanic",Hispanic,7.42,10.7,-3.28,-5.27,-1.3,*,15,16
,10/26/2024 12:00:00 AM,10/26/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,3.43,4.56,-1.14,-2.56,0.28,,15,16
,12/28/2024 12:00:00 AM,12/28/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",7.37,11.94,-4.56,-6.82,-2.31,*,15,18
,12/28/2024 12:00:00 AM,12/28/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",9.93,11.94,-2,-4.26,0.25,,16,18
,12/28/2024 12:00:00 AM,12/28/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",12.11,11.94,0.17,-1.8,2.15,,17,18
,12/07/2024 12:00:00 AM,12/07/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,6.9,9.15,-2.25,-4.01,-0.49,*,15,16
,12/07/2024 12:00:00 AM,12/07/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",6.9,11.84,-4.94,-7.14,-2.75,*,15,18
,12/07/2024 12:00:00 AM,12/07/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",9.15,11.84,-2.69,-4.84,-0.55,*,16,18
,12/07/2024 12:00:00 AM,12/07/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",11.46,11.84,-0.38,-2.32,1.56,,17,18
,12/07/2024 12:00:00 AM,12/07/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",6.9,11.46,-4.56,-6.06,-3.07,*,15,17
,12/07/2024 12:00:00 AM,12/07/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",9.15,11.46,-2.31,-3.74,-0.89,*,16,17
,12/28/2024 12:00:00 AM,12/28/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",7.37,12.11,-4.74,-6.36,-3.12,*,15,17
,12/28/2024 12:00:00 AM,12/28/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",9.93,12.11,-2.18,-3.8,-0.55,*,16,17
,12/14/2024 12:00:00 AM,12/14/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,6.9,9.25,-2.35,-4.11,-0.59,*,15,16
,12/14/2024 12:00:00 AM,12/14/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",6.9,11.86,-4.96,-7.15,-2.77,*,15,18
,12/14/2024 12:00:00 AM,12/14/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",9.25,11.86,-2.61,-4.76,-0.46,*,16,18
,12/14/2024 12:00:00 AM,12/14/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",11.78,11.86,-0.08,-2.04,1.88,,17,18
,12/14/2024 12:00:00 AM,12/14/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",6.9,11.78,-4.88,-6.4,-3.36,*,15,17
,12/14/2024 12:00:00 AM,12/14/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",9.25,11.78,-2.53,-3.99,-1.07,*,16,17
,12/21/2024 12:00:00 AM,12/21/2024 12:00:00 AM,"Black, Non-Hispanic",Hispanic,7.24,9.83,-2.6,-4.54,-0.65,*,15,16
,12/21/2024 12:00:00 AM,12/21/2024 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",7.24,11.87,-4.63,-6.88,-2.38,*,15,18
,12/21/2024 12:00:00 AM,12/21/2024 12:00:00 AM,Hispanic,"Other, Non-Hispanic",9.83,11.87,-2.04,-4.28,0.21,,16,18
,12/21/2024 12:00:00 AM,12/21/2024 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",11.92,11.87,0.05,-1.9,2.01,,17,18
,12/21/2024 12:00:00 AM,12/21/2024 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",7.24,11.92,-4.69,-6.28,-3.09,*,15,17
,12/21/2024 12:00:00 AM,12/21/2024 12:00:00 AM,Hispanic,"White, Non-Hispanic",9.83,11.92,-2.09,-3.68,-0.5,*,16,17
,01/11/2025 12:00:00 AM,01/11/2025 12:00:00 AM,"Black, Non-Hispanic","Other, Non-Hispanic",7.37,13.02,-5.65,-8,-3.3,*,15,18
,01/11/2025 12:00:00 AM,01/11/2025 12:00:00 AM,Hispanic,"Other, Non-Hispanic",10.55,13.02,-2.47,-4.85,-0.09,*,16,18
,01/11/2025 12:00:00 AM,01/11/2025 12:00:00 AM,"White, Non-Hispanic","Other, Non-Hispanic",12.46,13.02,-0.56,-2.63,1.51,,17,18
,01/11/2025 12:00:00 AM,01/11/2025 12:00:00 AM,"Black, Non-Hispanic","White, Non-Hispanic",7.37,12.46,-5.09,-6.69,-3.49,*,15,17
,01/11/2025 12:00:00 AM,01/11/2025 12:00:00 AM,Hispanic,"White, Non-Hispanic",10.55,12.46,-1.91,-3.56,-0.26,*,16,17
,01/11/2025 12:00:00 AM,01/11/2025 12:00:00 AM,"Black, Non-Hispanic",Hispanic,7.37,10.55,-3.18,-5.17,-1.19,*,15,16
Within Season Urbanicity Comparison,12/28/2024 12:00:00 AM,12/28/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),11.08,13.27,-2.19,-3.8,-0.58,*,20,21
Within Season Urbanicity Comparison,01/04/2025 12:00:00 AM,01/04/2025 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),6.44,11.32,-4.88,-6.29,-3.48,*,19,20
Within Season Urbanicity Comparison,01/04/2025 12:00:00 AM,01/04/2025 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),6.44,13.74,-7.3,-9.07,-5.53,*,19,21
Within Season Urbanicity Comparison,01/04/2025 12:00:00 AM,01/04/2025 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),11.32,13.74,-2.42,-4,-0.84,*,20,21
Within Season Urbanicity Comparison,10/19/2024 12:00:00 AM,10/19/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),2.07,6,-3.93,-5.01,-2.85,*,19,20
Within Season Urbanicity Comparison,10/19/2024 12:00:00 AM,10/19/2024 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),2.07,6.27,-4.2,-5.35,-3.06,*,19,21
Within Season Urbanicity Comparison,10/05/2024 12:00:00 AM,10/05/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),1.6,3.6,-2.01,-2.61,-1.41,*,19,20
Within Season Urbanicity Comparison,10/05/2024 12:00:00 AM,10/05/2024 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),1.6,4.89,-3.29,-4.15,-2.43,*,19,21
Within Season Urbanicity Comparison,10/12/2024 12:00:00 AM,10/12/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),1.88,4.27,-2.4,-3.23,-1.56,*,19,20
Within Season Urbanicity Comparison,10/12/2024 12:00:00 AM,10/12/2024 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),1.88,5.34,-3.46,-4.41,-2.52,*,19,21
Within Season Urbanicity Comparison,10/05/2024 12:00:00 AM,10/05/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),3.6,4.89,-1.28,-2.14,-0.42,*,20,21
Within Season Urbanicity Comparison,10/12/2024 12:00:00 AM,10/12/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),4.27,5.34,-1.07,-2.01,-0.13,*,20,21
Within Season Urbanicity Comparison,10/19/2024 12:00:00 AM,10/19/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),6,6.27,-0.27,-1.6,1.06,,20,21
Within Season Urbanicity Comparison,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),4.24,8.65,-4.41,-5.49,-3.33,*,19,20
Within Season Urbanicity Comparison,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),4.24,10.1,-5.86,-7.2,-4.52,*,19,21
Within Season Urbanicity Comparison,02/01/2025 12:00:00 AM,02/01/2025 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),11.93,14.87,-2.94,-5.13,-0.76,*,20,21
Within Season Urbanicity Comparison,02/01/2025 12:00:00 AM,02/01/2025 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),7.16,11.93,-4.77,-6.73,-2.81,*,19,20
Within Season Urbanicity Comparison,02/01/2025 12:00:00 AM,02/01/2025 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),7.16,14.87,-7.71,-10.33,-5.09,*,19,21
Within Season Urbanicity Comparison,02/08/2025 12:00:00 AM,02/08/2025 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),7.18,11.98,-4.79,-6.76,-2.83,*,19,20
Within Season Urbanicity Comparison,02/08/2025 12:00:00 AM,02/08/2025 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),7.18,14.88,-7.7,-10.33,-5.08,*,19,21
Within Season Urbanicity Comparison,02/08/2025 12:00:00 AM,02/08/2025 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),11.98,14.88,-2.91,-5.09,-0.72,*,20,21
Within Season Urbanicity Comparison,10/26/2024 12:00:00 AM,10/26/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),2.08,6.56,-4.49,-5.65,-3.33,*,19,20
Within Season Urbanicity Comparison,10/26/2024 12:00:00 AM,10/26/2024 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),2.08,6.54,-4.46,-5.64,-3.28,*,19,21
Within Season Urbanicity Comparison,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),8.65,10.1,-1.45,-2.77,-0.13,*,20,21
Within Season Urbanicity Comparison,11/16/2024 12:00:00 AM,11/16/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),4.77,9.04,-4.27,-5.46,-3.08,*,19,20
Within Season Urbanicity Comparison,11/16/2024 12:00:00 AM,11/16/2024 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),4.77,10.28,-5.5,-6.9,-4.11,*,19,21
Within Season Urbanicity Comparison,11/16/2024 12:00:00 AM,11/16/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),9.04,10.28,-1.23,-2.5,0.04,,20,21
Within Season Urbanicity Comparison,01/25/2025 12:00:00 AM,01/25/2025 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),7,11.66,-4.66,-6.24,-3.08,*,19,20
Within Season Urbanicity Comparison,01/25/2025 12:00:00 AM,01/25/2025 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),7,13.8,-6.8,-8.7,-4.91,*,19,21
Within Season Urbanicity Comparison,01/25/2025 12:00:00 AM,01/25/2025 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),11.66,13.8,-2.14,-3.74,-0.54,*,20,21
Within Season Urbanicity Comparison,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),5.36,9.17,-3.81,-5.2,-2.41,*,19,20
Within Season Urbanicity Comparison,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),5.36,11.84,-6.48,-8.99,-3.98,*,19,21
Within Season Urbanicity Comparison,11/23/2024 12:00:00 AM,11/23/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),9.17,11.84,-2.68,-4.99,-0.37,*,20,21
Within Season Urbanicity Comparison,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),5.37,9.49,-4.13,-5.56,-2.7,*,19,20
Within Season Urbanicity Comparison,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),5.37,12.1,-6.74,-9.27,-4.21,*,19,21
Within Season Urbanicity Comparison,11/30/2024 12:00:00 AM,11/30/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),9.49,12.1,-2.61,-4.97,-0.25,*,20,21
Within Season Urbanicity Comparison,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),7.87,9.68,-1.81,-2.93,-0.69,*,20,21
Within Season Urbanicity Comparison,01/18/2025 12:00:00 AM,01/18/2025 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),11.54,13.8,-2.26,-3.85,-0.67,*,20,21
Within Season Urbanicity Comparison,10/26/2024 12:00:00 AM,10/26/2024 12:00:00 AM,Suburban (MSA Non-Principal City),Urban (MSA Principal City),6.56,6.54,0.03,-1.4,1.45,,20,21
Within Season Urbanicity Comparison,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),4.01,7.87,-3.87,-4.79,-2.94,*,19,20
Within Season Urbanicity Comparison,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,Rural (Non-MSA),Urban (MSA Principal City),4.01,9.68,-5.68,-6.88,-4.48,*,19,21
Within Season Urbanicity Comparison,12/07/2024 12:00:00 AM,12/07/2024 12:00:00 AM,Rural (Non-MSA),Suburban (MSA Non-Principal City),5.65,10.16,-4.51,-5.73,-3.29,*,19,20
