Surveillance Network,Season,MMWR Year,MMWR Week,Age group,Sex,Race/Ethnicity,Site,Weekly Rate,Cumulative Rate,Week Ending Date,Type
COVID-NET,2021-22,2022.0,6.0,Overall,Overall,Overall,Utah,13.5,247.0,2022-02-12 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,5.0,Overall,Overall,Overall,Utah,16.8,233.0,2022-02-05 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,4.0,Overall,Overall,Overall,Utah,22.2,216.0,2022-01-29 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,3.0,Overall,Overall,Overall,Utah,28.9,194.0,2022-01-22 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,2.0,Overall,Overall,Overall,Utah,26.7,165.0,2022-01-15 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,1.0,Overall,Overall,Overall,Utah,20.6,139.0,2022-01-08 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,52.0,Overall,Overall,Overall,Utah,9.4,118.0,2022-01-01 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,51.0,Overall,Overall,Overall,Utah,6.9,109.0,2021-12-25 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,50.0,Overall,Overall,Overall,Utah,7.8,102.0,2021-12-18 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,49.0,Overall,Overall,Overall,Utah,9.8,94.0,2021-12-11 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,48.0,Overall,Overall,Overall,Utah,10.5,84.0,2021-12-04 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,47.0,Overall,Overall,Overall,Utah,8.3,74.0,2021-11-27 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,46.0,Overall,Overall,Overall,Utah,8.3,65.0,2021-11-20 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,45.0,Overall,Overall,Overall,Utah,9.4,57.0,2021-11-13 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,44.0,Overall,Overall,Overall,Utah,8.9,48.0,2021-11-06 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,43.0,Overall,Overall,Overall,Utah,10.4,39.0,2021-10-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,42.0,Overall,Overall,Overall,Utah,9.4,28.0,2021-10-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,41.0,Overall,Overall,Overall,Utah,9.0,19.0,2021-10-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,40.0,Overall,Overall,Overall,Utah,9.8,10.0,2021-10-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,39.0,Overall,Overall,Overall,Tennessee,3.7,489.0,2022-10-01 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,38.0,Overall,Overall,Overall,Tennessee,5.1,486.0,2022-09-24 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,37.0,Overall,Overall,Overall,Tennessee,4.9,481.0,2022-09-17 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,36.0,Overall,Overall,Overall,Tennessee,7.8,476.0,2022-09-10 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,35.0,Overall,Overall,Overall,Tennessee,8.2,468.0,2022-09-03 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,34.0,Overall,Overall,Overall,Tennessee,10.0,460.0,2022-08-27 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,33.0,Overall,Overall,Overall,Tennessee,8.6,450.0,2022-08-20 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,32.0,Overall,Overall,Overall,Tennessee,9.8,441.0,2022-08-13 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,31.0,Overall,Overall,Overall,Tennessee,10.3,431.0,2022-08-06 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,30.0,Overall,Overall,Overall,Tennessee,11.2,421.0,2022-07-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,29.0,Overall,Overall,Overall,Tennessee,11.6,410.0,2022-07-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,28.0,Overall,Overall,Overall,Tennessee,11.2,398.0,2022-07-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,27.0,Overall,Overall,Overall,Tennessee,8.6,387.0,2022-07-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,26.0,Overall,Overall,Overall,Tennessee,9.0,378.0,2022-07-02 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,25.0,Overall,Overall,Overall,Tennessee,7.6,369.0,2022-06-25 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,24.0,Overall,Overall,Overall,Tennessee,5.0,362.0,2022-06-18 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,23.0,Overall,Overall,Overall,Tennessee,6.3,357.0,2022-06-11 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,22.0,Overall,Overall,Overall,Tennessee,6.0,350.0,2022-06-04 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,21.0,Overall,Overall,Overall,Tennessee,4.0,344.0,2022-05-28 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,20.0,Overall,Overall,Overall,Tennessee,4.0,316.0,2022-05-21 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,19.0,Overall,Overall,Overall,Tennessee,3.1,312.0,2022-05-14 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,18.0,Overall,Overall,Overall,Tennessee,2.6,309.0,2022-05-07 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,17.0,Overall,Overall,Overall,Tennessee,1.7,307.0,2022-04-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,16.0,Overall,Overall,Overall,Tennessee,1.3,305.0,2022-04-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,15.0,Overall,Overall,Overall,Tennessee,1.3,304.0,2022-04-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,14.0,Overall,Overall,Overall,Tennessee,0.7,302.0,2022-04-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,13.0,Overall,Overall,Overall,Tennessee,0.8,302.0,2022-04-02 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,12.0,Overall,Overall,Overall,Tennessee,1.9,301.0,2022-03-26 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,11.0,Overall,Overall,Overall,Tennessee,2.0,299.0,2022-03-19 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,10.0,Overall,Overall,Overall,Tennessee,2.2,297.0,2022-03-12 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,9.0,Overall,Overall,Overall,Tennessee,4.2,295.0,2022-03-05 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,8.0,Overall,Overall,Overall,Tennessee,6.2,291.0,2022-02-26 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,7.0,Overall,Overall,Overall,Tennessee,10.2,285.0,2022-02-19 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,6.0,Overall,Overall,Overall,Tennessee,15.4,274.0,2022-02-12 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,5.0,Overall,Overall,Overall,Tennessee,21.9,259.0,2022-02-05 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,4.0,Overall,Overall,Overall,Tennessee,28.7,237.0,2022-01-29 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,3.0,Overall,Overall,Overall,Tennessee,30.7,208.0,2022-01-22 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,2.0,Overall,Overall,Overall,Tennessee,33.7,178.0,2022-01-15 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,1.0,Overall,Overall,Overall,Tennessee,29.9,144.0,2022-01-08 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,52.0,Overall,Overall,Overall,Tennessee,24.8,114.0,2022-01-01 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,51.0,Overall,Overall,Overall,Tennessee,10.7,89.0,2021-12-25 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,50.0,Overall,Overall,Overall,Tennessee,9.4,79.0,2021-12-18 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,49.0,Overall,Overall,Overall,Tennessee,9.3,69.0,2021-12-11 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,48.0,Overall,Overall,Overall,Tennessee,7.1,60.0,2021-12-04 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,47.0,Overall,Overall,Overall,Tennessee,7.0,53.0,2021-11-27 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,46.0,Overall,Overall,Overall,Tennessee,5.5,46.0,2021-11-20 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,45.0,Overall,Overall,Overall,Tennessee,5.1,40.0,2021-11-13 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,44.0,Overall,Overall,Overall,Tennessee,4.6,35.0,2021-11-06 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,43.0,Overall,Overall,Overall,Tennessee,4.9,31.0,2021-10-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,42.0,Overall,Overall,Overall,Tennessee,6.8,26.0,2021-10-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,41.0,Overall,Overall,Overall,Tennessee,8.8,19.0,2021-10-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,40.0,Overall,Overall,Overall,Tennessee,10.0,10.0,2021-10-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,39.0,Overall,Overall,Overall,Oregon,6.8,413.0,2022-10-01 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,38.0,Overall,Overall,Overall,Oregon,5.4,406.0,2022-09-24 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,37.0,Overall,Overall,Overall,Oregon,5.2,400.0,2022-09-17 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,36.0,Overall,Overall,Overall,Oregon,5.6,395.0,2022-09-10 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,35.0,Overall,Overall,Overall,Oregon,6.3,389.0,2022-09-03 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,34.0,Overall,Overall,Overall,Oregon,7.1,383.0,2022-08-27 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,33.0,Overall,Overall,Overall,Oregon,8.1,376.0,2022-08-20 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,32.0,Overall,Overall,Overall,Oregon,8.1,368.0,2022-08-13 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,31.0,Overall,Overall,Overall,Oregon,8.7,360.0,2022-08-06 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,30.0,Overall,Overall,Overall,Oregon,9.5,351.0,2022-07-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,29.0,Overall,Overall,Overall,Oregon,9.4,342.0,2022-07-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,28.0,Overall,Overall,Overall,Oregon,10.0,332.0,2022-07-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,27.0,Overall,Overall,Overall,Oregon,9.4,322.0,2022-07-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,26.0,Overall,Overall,Overall,Oregon,9.4,313.0,2022-07-02 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,25.0,Overall,Overall,Overall,Oregon,10.0,303.0,2022-06-25 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,24.0,Overall,Overall,Overall,Oregon,8.2,293.0,2022-06-18 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,23.0,Overall,Overall,Overall,Oregon,8.6,285.0,2022-06-11 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,22.0,Overall,Overall,Overall,Oregon,9.1,277.0,2022-06-04 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,21.0,Overall,Overall,Overall,Oregon,8.3,267.0,2022-05-28 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,20.0,Overall,Overall,Overall,Oregon,7.9,241.0,2022-05-21 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,19.0,Overall,Overall,Overall,Oregon,7.5,233.0,2022-05-14 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,18.0,Overall,Overall,Overall,Oregon,5.5,225.0,2022-05-07 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,17.0,Overall,Overall,Overall,Oregon,4.8,220.0,2022-04-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,16.0,Overall,Overall,Overall,Oregon,3.7,215.0,2022-04-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,15.0,Overall,Overall,Overall,Oregon,2.8,211.0,2022-04-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,14.0,Overall,Overall,Overall,Oregon,2.7,209.0,2022-04-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,13.0,Overall,Overall,Overall,Oregon,3.0,206.0,2022-04-02 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,12.0,Overall,Overall,Overall,Oregon,2.5,203.0,2022-03-26 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,11.0,Overall,Overall,Overall,Oregon,3.1,200.0,2022-03-19 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,10.0,Overall,Overall,Overall,Oregon,4.4,197.0,2022-03-12 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,9.0,Overall,Overall,Overall,Oregon,6.1,193.0,2022-03-05 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,8.0,Overall,Overall,Overall,Oregon,7.2,187.0,2022-02-26 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,7.0,Overall,Overall,Overall,Oregon,9.3,180.0,2022-02-19 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,6.0,Overall,Overall,Overall,Oregon,11.9,170.0,2022-02-12 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,5.0,Overall,Overall,Overall,Oregon,14.0,159.0,2022-02-05 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,4.0,Overall,Overall,Overall,Oregon,16.6,145.0,2022-01-29 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,3.0,Overall,Overall,Overall,Oregon,19.4,128.0,2022-01-22 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,2.0,Overall,Overall,Overall,Oregon,18.2,108.0,2022-01-15 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,1.0,Overall,Overall,Overall,Oregon,14.4,90.0,2022-01-08 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,52.0,Overall,Overall,Overall,Oregon,9.7,76.0,2022-01-01 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,51.0,Overall,Overall,Overall,Oregon,5.0,66.0,2021-12-25 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,50.0,Overall,Overall,Overall,Oregon,4.4,61.0,2021-12-18 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,49.0,Overall,Overall,Overall,Oregon,5.0,57.0,2021-12-11 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,48.0,Overall,Overall,Overall,Oregon,5.9,52.0,2021-12-04 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,47.0,Overall,Overall,Overall,Oregon,5.9,46.0,2021-11-27 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,46.0,Overall,Overall,Overall,Oregon,4.7,40.0,2021-11-20 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,45.0,Overall,Overall,Overall,Oregon,4.3,35.0,2021-11-13 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,44.0,Overall,Overall,Overall,Oregon,6.1,31.0,2021-11-06 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,43.0,Overall,Overall,Overall,Oregon,6.1,25.0,2021-10-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,42.0,Overall,Overall,Overall,Oregon,6.7,19.0,2021-10-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,41.0,Overall,Overall,Overall,Oregon,5.6,12.0,2021-10-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,40.0,Overall,Overall,Overall,Oregon,6.5,7.0,2021-10-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,39.0,Overall,Overall,Overall,Ohio,5.9,400.0,2022-10-01 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,38.0,Overall,Overall,Overall,Ohio,8.2,394.0,2022-09-24 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,37.0,Overall,Overall,Overall,Ohio,7.8,386.0,2022-09-17 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,36.0,Overall,Overall,Overall,Ohio,8.8,378.0,2022-09-10 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,35.0,Overall,Overall,Overall,Ohio,8.3,369.0,2022-09-03 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,34.0,Overall,Overall,Overall,Ohio,9.7,361.0,2022-08-27 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,33.0,Overall,Overall,Overall,Ohio,11.0,351.0,2022-08-20 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,32.0,Overall,Overall,Overall,Ohio,10.2,340.0,2022-08-13 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,31.0,Overall,Overall,Overall,Ohio,11.4,330.0,2022-08-06 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,30.0,Overall,Overall,Overall,Ohio,8.9,318.0,2022-07-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,29.0,Overall,Overall,Overall,Ohio,7.3,310.0,2022-07-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,28.0,Overall,Overall,Overall,Ohio,7.8,302.0,2022-07-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,27.0,Overall,Overall,Overall,Ohio,7.4,294.0,2022-07-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,26.0,Overall,Overall,Overall,Ohio,6.7,287.0,2022-07-02 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,25.0,Overall,Overall,Overall,Ohio,6.0,280.0,2022-06-25 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,24.0,Overall,Overall,Overall,Ohio,6.2,274.0,2022-06-18 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,23.0,Overall,Overall,Overall,Ohio,6.3,268.0,2022-06-11 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,22.0,Overall,Overall,Overall,Ohio,7.4,262.0,2022-06-04 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,21.0,Overall,Overall,Overall,Ohio,5.6,254.0,2022-05-28 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,20.0,Overall,Overall,Overall,Ohio,5.5,234.0,2022-05-21 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,19.0,Overall,Overall,Overall,Ohio,3.7,228.0,2022-05-14 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,18.0,Overall,Overall,Overall,Ohio,5.0,224.0,2022-05-07 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,17.0,Overall,Overall,Overall,Ohio,4.1,219.0,2022-04-30 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,16.0,Overall,Overall,Overall,Ohio,3.8,215.0,2022-04-23 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,15.0,Overall,Overall,Overall,Ohio,3.0,211.0,2022-04-16 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,14.0,Overall,Overall,Overall,Ohio,3.0,208.0,2022-04-09 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,13.0,Overall,Overall,Overall,Ohio,2.1,205.0,2022-04-02 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,12.0,Overall,Overall,Overall,Ohio,2.3,203.0,2022-03-26 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,11.0,Overall,Overall,Overall,Ohio,2.7,201.0,2022-03-19 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,10.0,Overall,Overall,Overall,Ohio,1.9,198.0,2022-03-12 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,9.0,Overall,Overall,Overall,Ohio,2.7,196.0,2022-03-05 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,8.0,Overall,Overall,Overall,Ohio,3.9,194.0,2022-02-26 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,7.0,Overall,Overall,Overall,Ohio,4.6,190.0,2022-02-19 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,6.0,Overall,Overall,Overall,Ohio,7.3,185.0,2022-02-12 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,5.0,Overall,Overall,Overall,Ohio,8.3,178.0,2022-02-05 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,4.0,Overall,Overall,Overall,Ohio,13.7,170.0,2022-01-29 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,3.0,Overall,Overall,Overall,Ohio,14.6,156.0,2022-01-22 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,2.0,Overall,Overall,Overall,Ohio,16.7,141.0,2022-01-15 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2022.0,1.0,Overall,Overall,Overall,Ohio,18.9,125.0,2022-01-08 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,52.0,Overall,Overall,Overall,Ohio,13.4,106.0,2022-01-01 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,51.0,Overall,Overall,Overall,Ohio,11.9,92.0,2021-12-25 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,50.0,Overall,Overall,Overall,Ohio,10.9,80.0,2021-12-18 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,49.0,Overall,Overall,Overall,Ohio,10.9,69.0,2021-12-11 00:00:00,Unadjusted Rate
COVID-NET,2021-22,2021.0,48.0,Overall,Overall,Overall,Ohio,9.9,59.0,2021-12-04 00:00:00,Unadjusted Rate
