current_season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend,Child or adult
2023-24,APR,,,Virginia,,13-17 years,"2023-24, Virginia: 13-17 years",Child
2023-24,APR,,,Virginia,,18+ years,"2023-24, Virginia: 18+ years",Adult
2023-24,APR,,,Virginia,,18-49 years,"2023-24, Virginia: 18-49 years",Adult
2023-24,APR,,,Virginia,,2-4 years,"2023-24, Virginia: 2-4 years",Child
2023-24,APR,,,Virginia,,5-8 years,"2023-24, Virginia: 5-8 years",Child
2023-24,APR,,,Virginia,,50-64 years,"2023-24, Virginia: 50-64 years",Adult
2023-24,APR,,,Virginia,,6 months to 17 years,"2023-24, Virginia: 6 months to 17 years",Child
2023-24,APR,,,Virginia,,6-23 months,"2023-24, Virginia: 6-23 months",Child
2023-24,APR,,,Virginia,,65+ years,"2023-24, Virginia: 65+ years",Adult
2023-24,APR,,,Virginia,,9-12 years,"2023-24, Virginia: 9-12 years",Child
2023-24,APR,,,Virginia,,Overall,"2023-24, Virginia: Overall",All
2023-24,APR,0,355.5,Republic of Palau,0,6-23 months,"2023-24, Republic of Palau: 6-23 months",Child
2023-24,APR,0,684,Republic of Palau,0,2-4 years,"2023-24, Republic of Palau: 2-4 years",Child
2023-24,APR,0,928,Republic of Palau,0,5-8 years,"2023-24, Republic of Palau: 5-8 years",Child
2023-24,APR,1,1258.5,American Samoa,0.0008,6-23 months,"2023-24, American Samoa: 6-23 months",Child
2023-24,APR,1,3278,American Samoa,0.0003,65+ years,"2023-24, American Samoa: 65+ years",Adult
2023-24,APR,1,3546,American Samoa,0.0003,9-12 years,"2023-24, American Samoa: 9-12 years",Child
2023-24,APR,1,4073,U.S. Virgin Islands ,0.0002,2-4 years,"2023-24, U.S. Virgin Islands : 2-4 years",Child
2023-24,APR,1,4748,American Samoa,0.0002,13-17 years,"2023-24, American Samoa: 13-17 years",Child
2023-24,APR,1,5553,U.S. Virgin Islands ,0.0002,5-8 years,"2023-24, U.S. Virgin Islands : 5-8 years",Child
2023-24,APR,2,1099,Republic of Palau,0.0018,9-12 years,"2023-24, Republic of Palau: 9-12 years",Child
2023-24,APR,2,1951,U.S. Virgin Islands ,0.001,6-23 months,"2023-24, U.S. Virgin Islands : 6-23 months",Child
2023-24,APR,2,3481,American Samoa,0.0006,5-8 years,"2023-24, American Samoa: 5-8 years",Child
2023-24,APR,2,6226,U.S. Virgin Islands ,0.0003,9-12 years,"2023-24, U.S. Virgin Islands : 9-12 years",Child
2023-24,APR,3,2608,American Samoa,0.0012,2-4 years,"2023-24, American Samoa: 2-4 years",Child
2023-24,APR,3,7639,American Samoa,0.0004,50-64 years,"2023-24, American Samoa: 50-64 years",Adult
2023-24,APR,3,20418,American Samoa,0.0001,18-49 years,"2023-24, American Samoa: 18-49 years",Adult
2023-24,APR,4,13771,Guam,0.0003,13-17 years,"2023-24, Guam: 13-17 years",Child
2023-24,APR,7,5080,Marshall Islands,0.0014,2-4 years,"2023-24, Marshall Islands: 2-4 years",Child
2023-24,APR,7,6338,U.S. Virgin Islands ,0.0011,13-17 years,"2023-24, U.S. Virgin Islands : 13-17 years",Child
2023-24,APR,7,31335,American Samoa,0.0002,18+ years,"2023-24, American Samoa: 18+ years",Adult
2023-24,APR,8,15641.5,American Samoa,0.0005,6 months to 17 years,"2023-24, American Samoa: 6 months to 17 years",Child
2023-24,APR,10,1763,Republic of Palau,0.0057,13-17 years,"2023-24, Republic of Palau: 13-17 years",Child
2023-24,APR,10,11986,Guam,0.0008,9-12 years,"2023-24, Guam: 9-12 years",Child
2023-24,APR,12,4829.5,Republic of Palau,0.0025,6 months to 17 years,"2023-24, Republic of Palau: 6 months to 17 years",Child
2023-24,APR,13,24141,U.S. Virgin Islands ,0.0005,6 months to 17 years,"2023-24, U.S. Virgin Islands : 6 months to 17 years",Child
2023-24,APR,15,3732,Marshall Islands,0.004,65+ years,"2023-24, Marshall Islands: 65+ years",Adult
2023-24,APR,15,46976.5,American Samoa,0.0003,Overall,"2023-24, American Samoa: Overall",All
2023-24,APR,16,4712,Guam,0.0034,6-23 months,"2023-24, Guam: 6-23 months",Child
2023-24,APR,16,9444,Guam,0.0017,2-4 years,"2023-24, Guam: 2-4 years",Child
2023-24,APR,16,12460,Guam,0.0013,5-8 years,"2023-24, Guam: 5-8 years",Child
2023-24,APR,17,6780,Marshall Islands,0.0025,9-12 years,"2023-24, Marshall Islands: 9-12 years",Child
2023-24,APR,19,6738,Marshall Islands,0.0028,5-8 years,"2023-24, Marshall Islands: 5-8 years",Child
2023-24,APR,24,8151,Marshall Islands,0.0029,13-17 years,"2023-24, Marshall Islands: 13-17 years",Child
2023-24,APR,34,7700,Marshall Islands,0.0044,50-64 years,"2023-24, Marshall Islands: 50-64 years",Adult
2023-24,APR,41,1139.5,N. Mariana Islands,0.036,6-23 months,"2023-24, N. Mariana Islands: 6-23 months",Child
2023-24,APR,42,2593,Marshall Islands,0.0162,6-23 months,"2023-24, Marshall Islands: 6-23 months",Child
2023-24,APR,57,2226,N. Mariana Islands,0.0256,2-4 years,"2023-24, N. Mariana Islands: 2-4 years",Child
2023-24,APR,59,2844,Federated States of Micronesia,0.0207,6-23 months,"2023-24, Federated States of Micronesia: 6-23 months",Child
2023-24,APR,61,37396.5,Puerto Rico,0.0016,6-23 months,"2023-24, Puerto Rico: 6-23 months",Child
2023-24,APR,62,52373,Guam,0.0012,6 months to 17 years,"2023-24, Guam: 6 months to 17 years",Child
2023-24,APR,65,3019,N. Mariana Islands,0.0215,5-8 years,"2023-24, N. Mariana Islands: 5-8 years",Child
2023-24,APR,73,3916,N. Mariana Islands,0.0186,9-12 years,"2023-24, N. Mariana Islands: 9-12 years",Child
2023-24,APR,76,4812,Federated States of Micronesia,0.0158,65+ years,"2023-24, Federated States of Micronesia: 65+ years",Adult
2023-24,APR,81,1992,Republic of Palau,0.0407,65+ years,"2023-24, Republic of Palau: 65+ years",Adult
2023-24,APR,85,4023,Republic of Palau,0.0211,50-64 years,"2023-24, Republic of Palau: 50-64 years",Adult
2023-24,APR,85,38581,U.S. Virgin Islands ,0.0022,18-49 years,"2023-24, U.S. Virgin Islands : 18-49 years",Adult
2023-24,APR,90,5092,N. Mariana Islands,0.0177,13-17 years,"2023-24, N. Mariana Islands: 13-17 years",Child
2023-24,APR,95,9510.5,Wyoming,0.01,6-23 months,"2023-24, Wyoming: 6-23 months",Child
2023-24,APR,96,10382,Federated States of Micronesia,0.0092,13-17 years,"2023-24, Federated States of Micronesia: 13-17 years",Child
2023-24,APR,102,10568,Republic of Palau,0.0097,18-49 years,"2023-24, Republic of Palau: 18-49 years",Adult
2023-24,APR,103,74811,Puerto Rico,0.0014,2-4 years,"2023-24, Puerto Rico: 2-4 years",Child
2023-24,APR,109,29342,Marshall Islands,0.0037,6 months to 17 years,"2023-24, Marshall Islands: 6 months to 17 years",Child
2023-24,APR,133,70741,Guam,0.0019,18-49 years,"2023-24, Guam: 18-49 years",Adult
2023-24,APR,134,12246,Federated States of Micronesia,0.0109,50-64 years,"2023-24, Federated States of Micronesia: 50-64 years",Adult
2023-24,APR,137,36097,Marshall Islands,0.0038,18-49 years,"2023-24, Marshall Islands: 18-49 years",Adult
2023-24,APR,147,7989,Federated States of Micronesia,0.0184,9-12 years,"2023-24, Federated States of Micronesia: 9-12 years",Child
2023-24,APR,171,5706,Federated States of Micronesia,0.03,2-4 years,"2023-24, Federated States of Micronesia: 2-4 years",Child
2023-24,APR,171,22448,U.S. Virgin Islands ,0.0076,50-64 years,"2023-24, U.S. Virgin Islands : 50-64 years",Adult
2023-24,APR,186,47529,Marshall Islands,0.0039,18+ years,"2023-24, Marshall Islands: 18+ years",Adult
2023-24,APR,186,53615.5,Mississippi,0.0035,6-23 months,"2023-24, Mississippi: 6-23 months",Child
2023-24,APR,201,21113,Wyoming,0.0095,2-4 years,"2023-24, Wyoming: 2-4 years",Child
2023-24,APR,204,7726,Federated States of Micronesia,0.0264,5-8 years,"2023-24, Federated States of Micronesia: 5-8 years",Child
2023-24,APR,205,27742,Guam,0.0074,50-64 years,"2023-24, Guam: 50-64 years",Adult
2023-24,APR,222,118083,Puerto Rico,0.0019,5-8 years,"2023-24, Puerto Rico: 5-8 years",Child
2023-24,APR,236,26572.5,West Virginia,0.0089,6-23 months,"2023-24, West Virginia: 6-23 months",Child
2023-24,APR,253,3754,N. Mariana Islands,0.0674,65+ years,"2023-24, N. Mariana Islands: 65+ years",Adult
2023-24,APR,257,16061,Guam,0.016,65+ years,"2023-24, Guam: 65+ years",Adult
2023-24,APR,268,16583,Republic of Palau,0.0162,18+ years,"2023-24, Republic of Palau: 18+ years",Adult
2023-24,APR,280,21412.5,Republic of Palau,0.0131,Overall,"2023-24, Republic of Palau: Overall",All
2023-24,APR,295,76871,Marshall Islands,0.0038,Overall,"2023-24, Marshall Islands: Overall",All
2023-24,APR,311,110338,Mississippi,0.0028,2-4 years,"2023-24, Mississippi: 2-4 years",Child
2023-24,APR,326,15392.5,N. Mariana Islands,0.0212,6 months to 17 years,"2023-24, N. Mariana Islands: 6 months to 17 years",Child
2023-24,APR,341,55856,West Virginia,0.0061,2-4 years,"2023-24, West Virginia: 2-4 years",Child
2023-24,APR,342,136345,Puerto Rico,0.0025,9-12 years,"2023-24, Puerto Rico: 9-12 years",Child
2023-24,APR,401,29524,Wyoming,0.0136,5-8 years,"2023-24, Wyoming: 5-8 years",Child
2023-24,APR,444,20478,U.S. Virgin Islands ,0.0217,65+ years,"2023-24, U.S. Virgin Islands : 65+ years",Adult
2023-24,APR,447,49666,Federated States of Micronesia,0.009,18-49 years,"2023-24, Federated States of Micronesia: 18-49 years",Adult
2023-24,APR,448,20301,N. Mariana Islands,0.0221,18-49 years,"2023-24, N. Mariana Islands: 18-49 years",Adult
2023-24,APR,449,12020,N. Mariana Islands,0.0374,50-64 years,"2023-24, N. Mariana Islands: 50-64 years",Adult
2023-24,APR,505,85458,Alabama,0.0059,6-23 months,"2023-24, Alabama: 6-23 months",Child
2023-24,APR,521,54115,Nevada,0.0096,6-23 months,"2023-24, Nevada: 6-23 months",Child
2023-24,APR,523,31095,Wyoming,0.0168,9-12 years,"2023-24, Wyoming: 9-12 years",Child
2023-24,APR,524,149649,Mississippi,0.0035,5-8 years,"2023-24, Mississippi: 5-8 years",Child
2023-24,APR,590,86184,Louisiana,0.0068,6-23 months,"2023-24, Louisiana: 6-23 months",Child
2023-24,APR,595,15908.5,Delaware,0.0374,6-23 months,"2023-24, Delaware: 6-23 months",Child
2023-24,APR,595,114544,Guam,0.0052,18+ years,"2023-24, Guam: 18+ years",Adult
2023-24,APR,626,79949,West Virginia,0.0078,5-8 years,"2023-24, West Virginia: 5-8 years",Child
2023-24,APR,632,17119.5,Montana,0.0369,6-23 months,"2023-24, Montana: 6-23 months",Child
2023-24,APR,640,54432.5,Arkansas,0.0118,6-23 months,"2023-24, Arkansas: 6-23 months",Child
2023-24,APR,657,66724,Federated States of Micronesia,0.0098,18+ years,"2023-24, Federated States of Micronesia: 18+ years",Adult
2023-24,APR,657,166917,Guam,0.0039,Overall,"2023-24, Guam: Overall",All
2023-24,APR,677,34647,Federated States of Micronesia,0.0195,6 months to 17 years,"2023-24, Federated States of Micronesia: 6 months to 17 years",Child
2023-24,APR,700,81507,U.S. Virgin Islands ,0.0086,18+ years,"2023-24, U.S. Virgin Islands : 18+ years",Adult
2023-24,APR,710,187055,Puerto Rico,0.0038,13-17 years,"2023-24, Puerto Rico: 13-17 years",Child
2023-24,APR,713,105648,U.S. Virgin Islands ,0.0067,Overall,"2023-24, U.S. Virgin Islands : Overall",All
2023-24,APR,715,178339,Alabama,0.004,2-4 years,"2023-24, Alabama: 2-4 years",Child
2023-24,APR,748,32606.5,Idaho,0.0229,6-23 months,"2023-24, Idaho: 6-23 months",Child
2023-24,APR,755,14422,Alaska,0.0524,6-23 months,"2023-24, Alaska: 6-23 months",Child
2023-24,APR,776,38687,Wyoming,0.0201,13-17 years,"2023-24, Wyoming: 13-17 years",Child
2023-24,APR,800,17706,South Dakota,0.0452,6-23 months,"2023-24, South Dakota: 6-23 months",Child
2023-24,APR,829,157912,Mississippi,0.0052,9-12 years,"2023-24, Mississippi: 9-12 years",Child
2023-24,APR,833,80919,West Virginia,0.0103,9-12 years,"2023-24, West Virginia: 9-12 years",Child
2023-24,APR,845,24550,Hawaii,0.0344,6-23 months,"2023-24, Hawaii: 6-23 months",Child
2023-24,APR,855,15564.5,North Dakota,0.0549,6-23 months,"2023-24, North Dakota: 6-23 months",Child
2023-24,APR,861,73805.5,Oklahoma,0.0117,6-23 months,"2023-24, Oklahoma: 6-23 months",Child
2023-24,APR,866,33304,Delaware,0.026,2-4 years,"2023-24, Delaware: 2-4 years",Child
2023-24,APR,880,181154,Louisiana,0.0049,2-4 years,"2023-24, Louisiana: 2-4 years",Child
2023-24,APR,979,113842,Arkansas,0.0086,2-4 years,"2023-24, Arkansas: 2-4 years",Child
2023-24,APR,1023,30474,Alaska,0.0336,2-4 years,"2023-24, Alaska: 2-4 years",Child
2023-24,APR,1111,112689,Nevada,0.0099,2-4 years,"2023-24, Nevada: 2-4 years",Child
2023-24,APR,1139,36853,South Dakota,0.0309,2-4 years,"2023-24, South Dakota: 2-4 years",Child
2023-24,APR,1139,37112,Montana,0.0307,2-4 years,"2023-24, Montana: 2-4 years",Child
2023-24,APR,1150,36075,N. Mariana Islands,0.0319,18+ years,"2023-24, N. Mariana Islands: 18+ years",Adult
2023-24,APR,1153,70468,Idaho,0.0164,2-4 years,"2023-24, Idaho: 2-4 years",Child
2023-24,APR,1247,32285,North Dakota,0.0386,2-4 years,"2023-24, North Dakota: 2-4 years",Child
2023-24,APR,1276,51368,Hawaii,0.0248,2-4 years,"2023-24, Hawaii: 2-4 years",Child
2023-24,APR,1317,239102,Alabama,0.0055,5-8 years,"2023-24, Alabama: 5-8 years",Child
2023-24,APR,1334,101371,Federated States of Micronesia,0.0132,Overall,"2023-24, Federated States of Micronesia: Overall",All
2023-24,APR,1424,155373,Oklahoma,0.0092,2-4 years,"2023-24, Oklahoma: 2-4 years",Child
2023-24,APR,1438,553690.5,Puerto Rico,0.0026,6 months to 17 years,"2023-24, Puerto Rico: 6 months to 17 years",Child
2023-24,APR,1467,242051,Louisiana,0.0061,5-8 years,"2023-24, Louisiana: 5-8 years",Child
2023-24,APR,1476,51467.5,N. Mariana Islands,0.0287,Overall,"2023-24, N. Mariana Islands: Overall",All
2023-24,APR,1485,104247,West Virginia,0.0142,13-17 years,"2023-24, West Virginia: 13-17 years",Child
2023-24,APR,1498,203909,Mississippi,0.0073,13-17 years,"2023-24, Mississippi: 13-17 years",Child
2023-24,APR,1504,45161,Delaware,0.0333,5-8 years,"2023-24, Delaware: 5-8 years",Child
2023-24,APR,1542,41226,Alaska,0.0374,5-8 years,"2023-24, Alaska: 5-8 years",Child
2023-24,APR,1621,154434,Arkansas,0.0105,5-8 years,"2023-24, Arkansas: 5-8 years",Child
2023-24,APR,1706,49273,South Dakota,0.0346,5-8 years,"2023-24, South Dakota: 5-8 years",Child
2023-24,APR,1737,40264,Alaska,0.0431,9-12 years,"2023-24, Alaska: 9-12 years",Child
2023-24,APR,1750,241497,Louisiana,0.0072,9-12 years,"2023-24, Louisiana: 9-12 years",Child
2023-24,APR,1780,8232,Vermont,0.2162,6-23 months,"2023-24, Vermont: 6-23 months",Child
2023-24,APR,1789,245322,Alabama,0.0073,9-12 years,"2023-24, Alabama: 9-12 years",Child
2023-24,APR,1818,46331,Delaware,0.0392,9-12 years,"2023-24, Delaware: 9-12 years",Child
2023-24,APR,1828,51927,Montana,0.0352,5-8 years,"2023-24, Montana: 5-8 years",Child
2023-24,APR,1870,39611,North Dakota,0.0472,9-12 years,"2023-24, North Dakota: 9-12 years",Child
2023-24,APR,1914,48907,South Dakota,0.0391,9-12 years,"2023-24, South Dakota: 9-12 years",Child
2023-24,APR,1977,99629,Idaho,0.0198,5-8 years,"2023-24, Idaho: 5-8 years",Child
2023-24,APR,1996,129929.5,Wyoming,0.0154,6 months to 17 years,"2023-24, Wyoming: 6 months to 17 years",Child
2023-24,APR,2010,52303,Montana,0.0384,9-12 years,"2023-24, Montana: 9-12 years",Child
2023-24,APR,2033,79533.5,Kentucky,0.0256,6-23 months,"2023-24, Kentucky: 6-23 months",Child
2023-24,APR,2083,157739,Arkansas,0.0132,9-12 years,"2023-24, Arkansas: 9-12 years",Child
2023-24,APR,2127,34451,New Mexico,0.0617,6-23 months,"2023-24, New Mexico: 6-23 months",Child
2023-24,APR,2175,70041,Hawaii,0.0311,5-8 years,"2023-24, Hawaii: 5-8 years",Child
2023-24,APR,2176,332603,Florida,0.0065,6-23 months,"2023-24, Florida: 6-23 months",Child
2023-24,APR,2225,47492,Alaska,0.0468,13-17 years,"2023-24, Alaska: 13-17 years",Child
2023-24,APR,2228,18790,Maine,0.1186,6-23 months,"2023-24, Maine: 6-23 months",Child
2023-24,APR,2229,46827,North Dakota,0.0476,13-17 years,"2023-24, North Dakota: 13-17 years",Child
2023-24,APR,2256,155213,Nevada,0.0145,5-8 years,"2023-24, Nevada: 5-8 years",Child
2023-24,APR,2352,13527.5,District of Columbia,0.1739,6-23 months,"2023-24, District of Columbia: 6-23 months",Child
2023-24,APR,2424,120410.5,Tennessee,0.0201,6-23 months,"2023-24, Tennessee: 6-23 months",Child
2023-24,APR,2456,59835,South Dakota,0.041,13-17 years,"2023-24, South Dakota: 13-17 years",Child
2023-24,APR,2497,65539,Montana,0.0381,13-17 years,"2023-24, Montana: 13-17 years",Child
2023-24,APR,2535,104275,Idaho,0.0243,9-12 years,"2023-24, Idaho: 9-12 years",Child
2023-24,APR,2573,215130,Oklahoma,0.012,5-8 years,"2023-24, Oklahoma: 5-8 years",Child
2023-24,APR,2660,65309,Hawaii,0.0407,9-12 years,"2023-24, Hawaii: 9-12 years",Child
