Current_season,Month,Previous_flu_Season,Jurisdiction,2024_25_estimate,Previous_Estimate,Difference_in_season_estimate,Numerator,Previous_season_numerator,Population,Age_group_label,Difference_indicator,Child_or_adult
2024-25,SEP,2022-23,Kansas,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,Kentucky,0.0321,0.0379,-0.0058,"31,351","37,006",975661.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Louisiana,0.0189,0.0226,-0.0037,"19,883","23,749",1052713,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Massachusetts,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,Maryland,0.0594,0.0694,-0.0101,"77,129","90,206",1299127.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Maine,0.1671,0.2201,-0.053,"40,443","53,279",242032,6 months-17 years,Lower by 5 percentage points or greater,Child
2024-25,SEP,2022-23,Marshall Islands,0.0073,0.0064,0.0009,213,187,29342,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Michigan,0.0391,0.0425,-0.0034,"81,144","88,123",2072888.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Minnesota,0.048,0.0532,-0.0052,"60,838","67,447",1268024,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Missouri,0.0298,0.0225,0.0073,"39,751","30,019",1335604.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,N. Mariana Islands,0.1132,0.0255,0.0878,"1,743",392,15392.5,6 months-17 years,Higher by 5 percentage points or greater,Child
2024-25,SEP,2022-23,Mississippi,0.0101,0.0087,0.0014,"6,832","5,876",675423.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Montana,0.0162,0.0194,-0.0031,"3,636","4,335",224000.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,North Carolina,0.0547,0.0351,0.0195,"122,815","78,976",2247245.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,North Dakota,0.0447,0.0486,-0.0039,"7,882","8,574",176399.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Nebraska,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,New Hampshire,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,New Jersey,0.0761,0.0746,0.0016,"143,526","140,557",1884782,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,New Mexico,0.0141,0.014,0.0001,"6,500","6,457",461203,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Nevada,0.0293,0.0281,0.0011,"19,883","19,119",679728,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,New York,0.0512,0.0623,-0.0111,"114,510","139,375",2237082,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Ohio,0.0416,0.04,0.0015,"104,004","100,151",2502483,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Oklahoma,0.0163,0.0139,0.0024,"15,156","12,882",929182.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Oregon,0.0412,0.0384,0.0029,"34,623","32,223",839769,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Pennsylvania,0.0586,0.0601,-0.0015,"130,451","133,859",2225691,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Philadelphia,0.0695,0.093,-0.0235,"22,828","30,555",328538.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Puerto Rico,0.0132,0.0118,0.0014,"7,309","6,507",553690.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Rhode Island,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,Republic of Palau,0,0,0,0,0,4829.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,South Carolina,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,South Dakota,0.0282,0.0339,-0.0057,"5,999","7,204",212574,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Houston,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,Tennessee,0.0376,0.0343,0.0033,"55,371","50,476",1473455.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Texas,0.0336,0.0287,0.0049,"243,532","208,215",7246622.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Utah,0.0405,0.0481,-0.0076,"36,640","43,526",905560.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Virginia,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,U.S. Virgin Islands ,0.0033,0,0.0033,80,1,24141,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Vermont,0.0545,0.0518,0.0027,"6,025","5,722",110501,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Washington,0.0459,0.0438,0.0021,"74,443","71,080",1622553.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Wisconsin,0.0445,0.0448,-0.0003,"54,646","54,975",1227144.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,West Virginia,0.0165,0.0167,-0.0002,"5,749","5,821",347543.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Wyoming,0.0076,0.0082,-0.0006,984,"1,068",129929.5,6 months-17 years,Within 5 percentage points,Child
2024-25,AUG,2022-23,Alaska,0.0042,0.0019,0.0023,"3,081","1,412",726305,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Alabama,0.0055,0.0032,0.0023,"26,727","15,604",4893409,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Arkansas,0.0028,0.0014,0.0014,"8,452","4,092",3012504.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,American Samoa,0,0.058,-0.058,2,"2,727",46976.5,Overall,Lower by 5 percentage points or greater,All
2024-25,AUG,2022-23,Arizona,0.0066,0.005,0.0017,"49,007","36,702",7380696.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,New York City,0.0062,0.0062,-0.0001,"50,551","50,979",8200096,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,California,0.0078,0.0077,0.0001,"305,906","301,087",39144646,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Chicago,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,Colorado,0.0057,0.0034,0.0023,"32,826","19,465",5776181,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Connecticut,0.0071,0.0044,0.0027,"25,299","15,651",3539890,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,District of Columbia,0.005,0.0033,0.0018,"3,557","2,310",708203.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Delaware,0.0076,0.0059,0.0018,"7,492","5,743",981560.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Florida,0.0131,0.0079,0.0053,"283,923","170,048",21623533,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Federated States of Micronesia,0.0004,0,0.0004,42,0,101371,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Georgia,0,0,0,0,0,10647521,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Guam,0.0086,0.0016,0.0069,"1,429",275,166917,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Hawaii,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,Iowa,0.002,0.0018,0.0003,"6,398","5,566",3145074,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Idaho,0.0029,0.0016,0.0012,"5,259","2,992",1816139.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Illinois,0.0058,0.0038,0.002,"72,477","47,199",12517504,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Indiana,0.0055,0.0027,0.0027,"36,819","18,371",6714728,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Kansas,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,Kentucky,0.0053,0.0032,0.0022,"23,796","14,185",4450995.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Louisiana,0.0044,0.0023,0.0022,"20,360","10,406",4616751,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Massachusetts,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,Maryland,0.0074,0.0051,0.0023,"44,460","30,872",6021010.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Maine,0.0476,0.0769,-0.0294,"63,916","103,410",1344005,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Marshall Islands,0.0001,0.0005,-0.0004,5,39,76871,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Michigan,0.0056,0.0038,0.0018,"55,702","37,801",9912630.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Minnesota,0.0038,0.0032,0.0007,"21,517","17,782",5624147,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Missouri,0.0036,0.0027,0.0008,"21,743","16,642",6115723.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,N. Mariana Islands,0.003,0.0022,0.0008,152,112,51467.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Mississippi,0.0038,0.0019,0.0019,"11,163","5,517",2949076.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Montana,0.0023,0.0008,0.0015,"2,515",898,1074894.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,North Carolina,0.0062,0.001,0.0052,"65,091","10,247",10541669,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,North Dakota,0.0014,0.001,0.0004,"1,087",746,760079.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Nebraska,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,New Hampshire,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,New Jersey,0.0078,0.0052,0.0026,"69,220","46,083",8832618,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,New Mexico,0.0063,0.0034,0.0029,"13,222","7,159",2095031,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Nevada,0.0102,0.0056,0.0046,"31,744","17,530",3120407,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,New York,0.006,0.0049,0.0012,"66,444","53,619",11026194,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Ohio,0.0051,0.0045,0.0006,"59,714","52,351",11627059,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Oklahoma,0.0025,0.0013,0.0012,"9,903","5,208",3956445.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Oregon,0.0028,0.0012,0.0016,"11,927","4,987",4220498,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Pennsylvania,0.0057,0.0042,0.0015,"62,994","46,784",11148453,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Philadelphia,0.0081,0.0061,0.0019,"12,658","9,604",1568273.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Puerto Rico,0.0061,0.0123,-0.0062,"19,400","39,151",3177862.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Rhode Island,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,Republic of Palau,0,0,0,0,0,21412.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,South Carolina,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,South Dakota,0.0018,0.001,0.0008,"1,581",855,886812,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Houston,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,Tennessee,0.0066,0.0038,0.0028,"45,531","26,301",6846888.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Texas,0.0044,0.0018,0.0026,"128,264","53,083",29172250,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Utah,0.0042,0.0027,0.0015,"13,547","8,580",3226163.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Virginia,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,AUG,2022-23,U.S. Virgin Islands ,0.0005,9.4654e-06,0.0004,48,1,105648,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Vermont,0.0031,0.002,0.0011,"1,938","1,267",620682,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Washington,0.0063,0.0034,0.0029,"47,923","25,986",7650371.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Wisconsin,0.003,0.0022,0.0009,"17,614","12,513",5801275.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,West Virginia,0.0034,0.0025,0.0009,"6,056","4,393",1776063.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Wyoming,0.0019,0.0005,0.0014,"1,125",296,579166.5,Overall,Within 5 percentage points,All
2024-25,DEC,2023-24,Alaska,0.1235,0.1342,-0.0107,"21,476","23,332",173878,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Alabama,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Arkansas,0.1767,0.1953,-0.0187,"120,423","133,154",681696.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,American Samoa,0.2414,0.2351,0.0063,"3,776","3,678",15641.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Arizona,0.1387,0.15,-0.0113,"222,713","240,799",1605718.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New York City,0.3275,0.331,-0.0035,"537,406","543,154",1640786,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,California,0.1878,0.2061,-0.0183,"1,608,783","1,765,818",8567802,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Chicago,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Colorado,0.263,0.2852,-0.0222,"320,488","347,488",1218497,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Connecticut,0.3874,0.4103,-0.0229,"271,910","287,991",701836,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,District of Columbia,0.2399,0.2627,-0.0228,"29,982","32,834",124975.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Delaware,0.2503,0.2798,-0.0294,"49,917","55,789",199407.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Florida,0.1342,0.1522,-0.018,"555,696","630,361",4140953,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Federated States of Micronesia,0.093,0.0905,0.0025,"3,221","3,135",34647,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Georgia,0.1502,0,0.1502,"365,991",0,2437453.5,6 months-17 years,Higher by 5 percentage points or greater,Child
2024-25,DEC,2023-24,Guam,0.0777,0.0577,0.02,"4,067","3,020",52373,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Iowa,0.224,0.2256,-0.0016,"158,359","159,490",707072,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Idaho,0.1502,0.1701,-0.0199,"66,120","74,898",440269.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Illinois,0.197,0.2123,-0.0153,"533,547","574,986",2707942,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Indiana,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Kansas,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Kentucky,0.1551,0.1766,-0.0215,"151,362","172,306",975661.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Louisiana,0.1071,0.1238,-0.0167,"112,721","130,348",1052713,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Massachusetts,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Maryland,0.2718,0.2785,-0.0067,"353,089","361,836",1299127.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Maine,0.3878,0.4002,-0.0124,"93,851","96,856",242032,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Marshall Islands,0.0857,0.0694,0.0163,"2,515","2,036",29342,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Michigan,0.1724,0.1781,-0.0057,"357,354","369,198",2072888.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Minnesota,0.241,0.256,-0.015,"305,582","324,563",1268024,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Missouri,0.1633,0.1814,-0.0181,"218,143","242,289",1335604.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,N. Mariana Islands,0.3133,0.217,0.0963,"4,823","3,340",15392.5,6 months-17 years,Higher by 5 percentage points or greater,Child
2024-25,DEC,2023-24,Mississippi,0.0645,0.0781,-0.0136,"43,560","52,733",675423.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Montana,0.1368,0.1448,-0.008,"30,640","32,439",224000.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,North Carolina,0.2066,0.2121,-0.0055,"464,195","476,555",2247245.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,North Dakota,0.2297,0.2449,-0.0152,"40,522","43,206",176399.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Nebraska,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,New Hampshire,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,New Jersey,0.3036,0.3199,-0.0163,"572,227","602,905",1884782,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New Mexico,0.1601,0.1772,-0.0171,"73,855","81,722",461203,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Nevada,0.1248,0.1402,-0.0154,"84,811","95,305",679728,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New York,0.2355,0.2629,-0.0274,"526,816","588,116",2237082,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Ohio,0.1829,0.1868,-0.0039,"457,627","467,426",2502483,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Oklahoma,0.121,0.1344,-0.0134,"112,466","124,874",929182.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Oregon,0.2092,0.2202,-0.011,"175,684","184,889",839769,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Pennsylvania,0.2224,0.2597,-0.0374,"494,935","578,091",2225691,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Philadelphia,0.2195,0.3525,-0.133,"72,121","115,803",328538.5,6 months-17 years,Lower by 5 percentage points or greater,Child
2024-25,DEC,2023-24,Puerto Rico,0.0344,0.0634,-0.029,"19,021","35,093",553690.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Rhode Island,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Republic of Palau,0,0,0,0,0,4829.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,South Carolina,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,South Dakota,0.228,0.2445,-0.0165,"48,469","51,982",212574,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Houston,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Tennessee,0.1577,0.1657,-0.008,"232,383","244,109",1473455.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Texas,0.133,0.1424,-0.0093,"963,941","1,031,677",7246622.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Utah,0.2033,0.2105,-0.0072,"184,120","190,623",905560.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Virginia,,,,Not Submitted,Not Submitted,,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,U.S. Virgin Islands ,0.0181,0.02,-0.0019,438,483,24141,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Vermont,0.3031,0.3263,-0.0232,"33,491","36,059",110501,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Washington,0.2188,0.2378,-0.0189,"355,083","385,806",1622553.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Wisconsin,0.2366,0.2472,-0.0106,"290,314","303,373",1227144.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,West Virginia,0.1201,0.1346,-0.0145,"41,741","46,772",347543.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Wyoming,0.1125,0.1246,-0.0121,"14,615","16,184",129929.5,6 months-17 years,Within 5 percentage points,Child
2024-25,JUL,2023-24,Alaska,0,0,0,29,20,726305,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Alabama,0.0001,0,0.0001,679,147,4893409,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Arkansas,0,0,-3.9834e-06,118,130,3012504.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,American Samoa,0,0,0,0,0,46976.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Arizona,0.0001,0.0001,0.0001,"1,058",480,7380696.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,New York City,0.0001,0.0001,0,605,421,8200096,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,California,0.0001,0,0.0001,"4,524","1,843",39144646,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Chicago,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Colorado,0.0001,0.0001,0,565,464,5776181,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Connecticut,0,0,-9.8873e-06,136,171,3539890,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,District of Columbia,0.0001,0.0001,1.412e-06,37,36,708203.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Delaware,0,0.0001,-0.0001,36,87,981560.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Florida,0.0009,0.0001,0.0008,"19,419","2,613",21623533,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Federated States of Micronesia,0,0,0,0,0,101371,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Georgia,0,0,0,0,0,10647521,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Guam,0,0,-0,0,6,166917,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Hawaii,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Iowa,0,5.4053e-06,0,66,17,3145074,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Idaho,0.0001,0,0,117,43,1816139.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Illinois,0.0001,0,0,922,418,12517504,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Indiana,0.0001,0,0,420,100,6714728,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Kansas,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Kentucky,0.0001,0,0,338,176,4450995.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Louisiana,0.0001,0,0.0001,442,151,4616751,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Massachusetts,,,,Not Submitted,Not Submitted,,Overall,Not Available,All
2024-25,JUL,2023-24,Maryland,0.0001,0,0,452,232,6021010.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Maine,0.0231,0.0208,0.0023,"30,989","27,953",1344005,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Marshall Islands,0,0,0,3,0,76871,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Michigan,0,7.4652e-06,0,303,74,9912630.5,Overall,Within 5 percentage points,All
