Nebraska,Region 7,Counts 1-9,,,59,2.5,6288,270.3,0.6%,-23.2%,5.1,-0.4,6.0,6.4,11981.0,24711.0,43637.0
Nevada,Region 9,0,,,38,1.2,12512,349.9,0.3%,-22.3%,2.9,-0.1,3.0,3.2,2161.0,8454.0,17878.0
New Hampshire,Region 1,Counts 1-9,,,43,2.2,3676,200,0.9%,-25.5%,3.7,-0.8,4.8,5.6,7571.0,18871.0,34372.0
New Jersey,Region 2,1.8,-5.3,-0.1,234,2,37397,319.8,1.3%,2.2%,4.3,0.5,3.9,3.9,4832.0,13700.0,26508.0
New Mexico,Region 6,Counts 1-9,,,89,3.4,9986,385.9,0.8%,-15.4%,3.4,0.4,3.1,3.5,15132.0,33261.0,61663.0
New York,Region 2,1.5,-31.8,-0.7,427,1.7,85934,332.4,0.8%,-6.1%,4.3,0.5,3.9,3.9,4832.0,13700.0,26508.0
New York (excludes NYC),,1.6,-27.3,-0.6,355,2.3,45159,293,,,,,,,,,
New York City,,Counts 1-9,,,72,0.7,40775,391.3,,,,,,,,,
North Carolina,Region 4,1.8,38.5,0.5,246,2,36879,295.2,1.2%,1.1%,3.8,0.5,3.7,3.7,7528.0,19815.0,35878.0
North Dakota,Region 8,Counts 1-9,,,30,3.2,2812,301.1,0.7%,-1.4%,3.6,0.0,4.3,4.8,5392.0,9125.0,18641.0
Northern Mariana Islands,,Data not available,,,Data not available,Data not available,Data not available,Data not available,,,,,,,,,
Ohio,Region 5,1.5,-6.3,-0.1,405,2.7,53095,357,1.2%,-3.0%,5.4,-0.4,6.1,7.1,43155.0,87306.0,169810.0
Oklahoma,Region 6,Counts 1-9,,,150,3.2,20949,457.2,,,3.4,0.4,3.1,3.5,15132.0,33261.0,61663.0
Oregon,Region 10,Counts 1-9,,,77,1.5,10296,196.1,0.5%,-16.2%,6.9,0.0,5.9,5.5,8677.0,16524.0,37206.0
Palau,,Data not available,,,Data not available,Data not available,Data not available,Data not available,,,,,,,,,
Pennsylvania,Region 3,2.1,0.0,0.0,493,2.8,56611,317,1.0%,-7.5%,5.0,0.3,4.9,5.1,5799.0,11303.0,22004.0
Puerto Rico,Region 2,Counts 1-9,,,39,0.7,7241,136.2,,,4.3,0.5,3.9,3.9,4832.0,13700.0,26508.0
Republic of Marshall Islands,,Data not available,,,Data not available,Data not available,Data not available,Data not available,,,,,,,,,
Rhode Island,Region 1,Counts 1-9,,,40,2.7,4250,287.3,0.7%,-28.5%,3.7,-0.8,4.8,5.6,7571.0,18871.0,34372.0
South Carolina,Region 4,1.3,18.2,0.2,126,1.9,22766,352.2,1.1%,2.0%,3.8,0.5,3.7,3.7,7528.0,19815.0,35878.0
South Dakota,Region 8,Counts 1-9,,,40,3.7,3558,325.6,1.1%,-22.1%,3.6,0.0,4.3,4.8,5392.0,9125.0,18641.0
Tennessee,Region 4,Counts 1-9,,,178,2.3,30694,370.7,1.2%,1.3%,3.8,0.5,3.7,3.7,7528.0,19815.0,35878.0
Texas,Region 6,1.3,160.0,0.8,250,0.9,106712,372,0.9%,0.1%,3.4,0.4,3.1,3.5,15132.0,33261.0,61663.0
United States of America,National,1.4,0.0,0.0,7771,2,1220168,305.6,1.0%,-4.1%,4.8,0.0,5.0,5.6,112228.0,243070.0,467597.0
Utah,Region 8,Counts 1-9,,,50,1.9,5918,212.4,0.6%,2.0%,3.6,0.0,4.3,4.8,5392.0,9125.0,18641.0
Vermont,Region 1,Counts 1-9,,,31,3.3,1273,145.3,1.1%,-19.8%,3.7,-0.8,4.8,5.6,7571.0,18871.0,34372.0
Virgin Islands,Region 2,Data not available,,,Data not available,Data not available,Data not available,Data not available,,,4.3,0.5,3.9,3.9,4832.0,13700.0,26508.0
Virginia,Region 3,1.4,7.7,0.1,207,2.1,25821,257.7,1.4%,4.7%,5.0,0.3,4.9,5.1,5799.0,11303.0,22004.0
Washington,Region 10,Counts 1-9,,,101,1.2,16621,192.2,0.6%,-4.9%,6.9,0.0,5.9,5.5,8677.0,16524.0,37206.0
West Virginia,Region 3,Counts 1-9,,,65,2.5,9377,376.9,1.2%,0.0%,5.0,0.3,4.9,5.1,5799.0,11303.0,22004.0
Wisconsin,Region 5,Counts 1-9,,,199,2.8,18531,250.6,1.3%,-7.8%,5.4,-0.4,6.1,7.1,43155.0,87306.0,169810.0
Wyoming,Region 8,Counts 1-9,,,16,Not Calculated (<20 deaths),2327,331,0.0%,0.0%,3.6,0.0,4.3,4.8,5392.0,9125.0,18641.0
