Vaccine,Geographic Level,Geographic Name,Demographic_Level,Demographic Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,National,National,Poverty Status,"Above Poverty, Income >= $75k",Up-to-date,Yes,December Week 4,2024-12-28,14.4906,1.0439,26352,0
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,52.6508,7.05,492,0
COVID,National,National,Poverty Status,Poverty Status Unknown,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,50.4029,12.3107,230,0
COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,6.2087,1.006,7067,0
COVID,National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,46.3857,10.469,302,0
COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,30.6315,10.2399,170,0
COVID,National,National,Poverty Status,Poverty Status Unknown,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,6.5696,5.2413,230,0
COVID,Region,Region 4,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,6.2087,1.006,7067,0
COVID,National,National,Poverty Status,Poverty Status Unknown,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,33.925,10.7212,230,0
COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,62.0889,8.5357,207,0
COVID,National,National,Race and Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,58.1468,12.7924,195,0
COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,9.7679,5.7568,207,0
COVID,National,National,Poverty Status,Poverty Status Unknown,Up-to-date,Yes,December Week 4,2024-12-28,9.1025,1.4446,6086,0
COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,50.8229,9.3177,202,0
COVID,National,National,Race and Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,9.9972,7.23,195,0
COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,30.1098,8.2641,202,0
COVID,National,National,Race and Ethnicity,"Black, Non-Hispanic",Up-to-date,Yes,December Week 4,2024-12-28,7.3732,1.3779,4772,0
COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,7.6499,0.9786,8148,0
COVID,National,National,Race and Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,7.3732,1.3779,4772,0
COVID,Region,Region 8,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,12.9147,2.0684,4835,0
COVID,National,National,Race and Ethnicity,Hispanic,Up-to-date,Yes,December Week 4,2024-12-28,9.9324,1.3856,12073,0
COVID,Region,Region 9,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,9.6072,9.1852,125,0
COVID,National,National,Race and Ethnicity,Hispanic,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,9.9324,1.3856,12073,0
COVID,State,Alabama,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,6.6701,2.4665,1267,0
COVID,National,National,Race and Ethnicity,"Other, Non-Hispanic",4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,8.4534,4.7339,238,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,7,1
COVID,National,National,Race and Ethnicity,"Other, Non-Hispanic",4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,41.8024,12.0223,238,0
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,,,7,1
COVID,National,National,Race and Ethnicity,"White, Non-Hispanic",4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,12.1098,0.8526,27628,0
COVID,State,Arkansas,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,4.1805,1.7164,995,0
COVID,National,National,Race and Ethnicity,"White, Non-Hispanic",4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,15.8691,3.4872,918,0
COVID,State,California,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,38.111,19.4169,40,0
COVID,National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,15.659,6.4262,266,0
COVID,State,California,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,13.1852,3.0792,1113,0
COVID,National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,2.9178,2.6364,266,0
COVID,State,Colorado,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,44.528,16.5724,50,0
COVID,National,National,Urbanicity,Urban MSA Principal City,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,9.992,4.0804,620,0
COVID,State,Colorado,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,34.1214,15.276,50,0
COVID,National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,5.657,0.9903,8910,0
COVID,State,Connecticut,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,6,1
COVID,National,National,Urbanicity,Urban MSA Principal City,Up-to-date,Yes,December Week 4,2024-12-28,13.2657,1.3555,14261,0
COVID,State,Delaware,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,66.4132,20.9785,48,0
COVID,National,National,Urbanicity,Suburban (MSA Non-Principal City),4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,8.9719,2.9582,952,0
COVID,State,Delaware,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,6.4156,5.9659,48,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,12.3821,9.3655,133,0
COVID,State,District of Columbia,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,21.7891,9.5249,189,0
COVID,National,National,Urbanicity,Suburban (MSA Non-Principal City),Up-to-date,Yes,December Week 4,2024-12-28,11.0784,0.867,28288,0
COVID,State,District of Columbia,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,33.5896,4.2378,1513,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,28.0791,11.5535,133,0
COVID,State,Florida,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,67.476,18.1545,38,0
COVID,National,National,Urbanicity,Urban MSA Principal City,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,38.4227,7.8115,620,0
COVID,State,Florida,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,0.7712,1.5266,38,0
COVID,Region,Region 10,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,46.1786,11.5177,140,0
COVID,State,Florida,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,28.1471,18.0846,38,0
COVID,National,National,Urbanicity,Urban MSA Principal City,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,13.2657,1.3555,14261,0
COVID,State,Florida,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,3.6058,1.8662,749,0
COVID,Region,Region 10,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,16.3149,3.3675,2983,0
COVID,State,Hawaii,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,11.1324,14.5279,48,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,38.8037,12.8014,133,0
COVID,State,Hawaii,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,38.66,19.4313,48,0
COVID,Region,Region 10,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,16.3149,3.3675,2983,0
COVID,State,Illinois,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,58.7258,16.1652,59,0
COVID,Region,Region 1,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,20.7351,3.1778,4890,0
COVID,State,Illinois,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,8.6743,10.7227,59,0
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,48.1023,11.8379,141,0
COVID,State,Illinois,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,19.542,12.0066,59,0
COVID,Region,Region 10,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,12.2492,7.2557,140,0
COVID,State,Indiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,7.9366,9.9382,65,0
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,9.0846,1.6197,3160,0
COVID,State,Iowa,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,3,1
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,11.6763,8.1019,141,0
COVID,State,Iowa,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,,,3,1
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,22.0521,5.41,492,0
COVID,State,Kansas,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,21,1
COVID,Region,Region 2,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,31.1368,10.6291,141,0
COVID,State,Kansas,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,,,1056,1
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,14.5348,1.5138,8095,0
COVID,State,Louisiana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,15,1
COVID,Region,Region 3,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,10.7623,4.0989,492,0
COVID,State,Louisiana,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,4.6361,2.2198,1010,0
COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,61.832,10.2622,170,0
COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,9.8526,12.2242,37,0
COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,14.5348,1.5138,8095,0
COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,18.1122,4.1859,916,0
COVID,Region,Region 4,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,1.3277,1.2119,170,0
COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,23.1754,13.1361,61,0
COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,12.476,1.4384,6151,0
COVID,State,Massachusetts,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,23.1905,4.8594,1104,0
COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,15.6673,5.8459,207,0
COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,62.1941,27.6762,33,0
COVID,Region,Region 6,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,7.6499,0.9786,8148,0
COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,9.3131,8.7701,33,0
COVID,Region,Region 5,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,12.476,1.4384,6151,0
COVID,State,Michigan,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,10.2949,3.4932,683,0
COVID,Region,Region 7,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,62.1438,17.1613,60,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,48.0694,21.2397,30,0
COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,11.4175,6.1352,202,0
COVID,State,Mississippi,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,2.6518,1.5891,686,0
COVID,Region,Region 7,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,13.37,12.2892,60,0
COVID,State,Missouri,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,8.3413,2.8918,681,0
COVID,Region,Region 7,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,14.0118,12.9663,60,0
COVID,State,Montana,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,8.7964,3.0508,1001,0
COVID,Region,Region 8,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,5.186,4.2442,168,0
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,5,1
COVID,Region,Region 7,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,10.4744,1.9687,2774,0
COVID,State,Nebraska,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,14.1875,4.9858,504,0
COVID,Region,Region 8,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,12.9147,2.0684,4835,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,27.8969,35.3094,33,0
COVID,Region,Region 7,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,10.4744,1.9687,2774,0
COVID,State,New Hampshire,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,15.6477,3.3821,1050,0
COVID,Region,Region 9,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,11.7477,2.3108,3356,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,43.0015,23.8794,36,0
COVID,Region,Region 8,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,51.1748,11.4188,168,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,1.2383,2.4027,36,0
COVID,Region,Region 9,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,11.7477,2.3108,3356,0
COVID,State,New Jersey,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,8.9315,2.4955,1185,0
COVID,Region,Region 8,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,30.7245,10.3333,168,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,,,28,1
COVID,State,Alabama,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,0,0,43,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,,,922,1
COVID,Region,Region 9,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,41.3334,16.0823,125,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,8,1
COVID,State,Alabama,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,6.6701,2.4665,1267,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,8,1
COVID,Region,Region 9,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,37.3117,15.421,125,0
COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,,,669,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,,,4,1
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,10,1
COVID,State,Alabama,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,70.3847,16.638,43,0
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,,,10,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,5.823,2.4465,590,0
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,,,702,1
COVID,State,Alabama,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,22.9452,16.1048,43,0
COVID,State,Oklahoma,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,9,1
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,7,1
COVID,State,Oklahoma,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,9,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,4,1
COVID,State,Oklahoma,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,,,9,1
COVID,State,Arizona,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,,,519,1
COVID,State,Oregon,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,44.7783,14.6417,83,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,4,1
COVID,State,Pennsylvania,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,56.9454,13.4933,70,0
COVID,State,Arizona,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,6.399,3.2945,519,0
COVID,State,Pennsylvania,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,10.842,2.2544,2203,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,,,590,1
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,10.842,2.2544,2203,0
COVID,State,Arkansas,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,16,1
COVID,State,Puerto Rico,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,4.2887,1.8448,1177,0
COVID,State,Arkansas,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,,,995,1
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,4.2887,1.8448,1177,0
COVID,State,Arkansas,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,16,1
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,8.1,2.6307,909,0
COVID,State,California,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,43.9831,20.3692,40,0
COVID,State,Utah,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,23,1
COVID,State,Arkansas,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,,,16,1
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,9.1255,1.4475,4311,0
COVID,State,Colorado,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,14.9466,3.2443,985,0
COVID,State,Utah,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,,,590,1
COVID,State,California,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,4.7207,8.9773,40,0
COVID,State,Vermont,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,32.0602,7.9546,711,0
COVID,State,Delaware,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,8.2808,2.4869,864,0
COVID,State,Virginia,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,39.7836,18.805,61,0
COVID,State,California,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,13.1852,3.0792,1113,0
COVID,State,Washington,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,15.4611,16.263,30,0
COVID,State,District of Columbia,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,21.4414,7.9144,189,0
COVID,State,Washington,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,18.7734,5.3109,674,0
COVID,State,Colorado,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,6.404,6.4426,50,0
COVID,State,Washington,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,18.7734,5.3109,674,0
COVID,State,Georgia,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,18,1
COVID,State,West Virginia,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,15.7846,10.2274,63,0
COVID,State,Colorado,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,14.9466,3.2443,985,0
COVID,State,Wisconsin,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,10,1
COVID,State,Georgia,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,7.183,3.0545,772,0
COVID,State,Wyoming,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,9.3479,4.6083,681,0
COVID,State,Connecticut,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,6,1
COVID,Substate,Illinois-City of Chicago,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,5,1
COVID,State,Hawaii,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,10.8392,3.0797,1027,0
COVID,Substate,Illinois-City of Chicago,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,5,1
COVID,State,Connecticut,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,,,6,1
COVID,Substate,New York-New York City,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,15.7924,21.3021,49,0
COVID,State,Hawaii,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,10.8392,3.0797,1027,0
