vaccine,geographic_level,geographic_name,demographic_level,demographic_name,indicator_label,month_week,curr_week_ending,prev_week_ending,curr_season,prev_season,curr_est,past_est,curr_ci_halfwidth_95pct,past_ci_halfwidth_95pct,difference_estimate,significance,curr_ci_95,past_ci_95,diff_ci_95,difference_indicator,estimate,binrangetext,binrangeorder
COVID,State,New York,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,7.7,10.9,1.9269,1.3828,-3.156,2.3717,5.8 to 9.6,9.5 to 12.3,-5.5 to -0.8,Lower than Last Season,0.0772,7.3 - 9.7,3
COVID,State,North Carolina,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,6.8,8.8,2.3211,1.7867,-2.0201,2.9291,4.5 to 9.1,7.0 to 10.6,-4.9 to 0.9,Similar to Last Season,0.068,5.3 - 7.2,2
COVID,State,North Dakota,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,9.7,7.7,3.6431,1.9294,2.0533,4.1225,6.1 to 13.4,5.7 to 9.6,-2.1 to 6.2,Similar to Last Season,0.0972,9.8 - 12.1,4
COVID,State,Ohio,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,6.7,8.7,2.8434,1.7003,-1.9598,3.313,3.9 to 9.5,7.0 to 10.4,-5.3 to 1.4,Similar to Last Season,0.067,5.3 - 7.2,2
COVID,State,Oklahoma,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,5,5.5,2.0991,1.2931,-0.5529,2.4654,2.9 to 7.1,4.2 to 6.8,-3.0 to 1.9,Similar to Last Season,0.0497,2.6 - 5.2,1
COVID,State,Oregon,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,18.3,15.6,3.8676,2.2499,2.7337,4.4744,14.5 to 22.2,13.3 to 17.8,-1.7 to 7.2,Similar to Last Season,0.1832,12.2 - 28.7,5
COVID,State,Pennsylvania,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,9.2,11.4,2.3171,1.4081,-2.2449,2.7114,6.8 to 11.5,10.0 to 12.8,-5.0 to 0.5,Similar to Last Season,0.0916,7.3 - 9.7,3
COVID,State,Puerto Rico,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,3.1,4.2,1.4027,1.1072,-1.0965,1.787,1.7 to 4.5,3.1 to 5.3,-2.9 to 0.7,Similar to Last Season,0.0307,2.6 - 5.2,1
COVID,State,Rhode Island,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,15.4,15.3,5.0382,3.2334,0.0773,5.9865,10.4 to 20.4,12.1 to 18.6,-5.9 to 6.1,Similar to Last Season,0.154,12.2 - 28.7,5
COVID,State,South Carolina,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,3.1,5.9,1.1091,1.3076,-2.8014,1.7146,2.0 to 4.2,4.6 to 7.2,-4.5 to -1.1,Lower than Last Season,0.0314,2.6 - 5.2,1
COVID,State,South Dakota,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,7.1,7.3,2.6543,2.0136,-0.15,3.3317,4.5 to 9.8,5.3 to 9.3,-3.5 to 3.2,Similar to Last Season,0.0715,5.3 - 7.2,2
COVID,State,Tennessee,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,5.1,6.3,2.2987,1.6923,-1.1268,2.8545,2.8 to 7.4,4.6 to 7.9,-4.0 to 1.7,Similar to Last Season,0.0513,2.6 - 5.2,1
COVID,State,Texas,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,6.7,7.6,1.205,0.8597,-0.8083,1.4802,5.5 to 7.9,6.7 to 8.4,-2.3 to 0.7,Similar to Last Season,0.0674,5.3 - 7.2,2
COVID,State,Utah,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,10.6,10.8,3.9727,2.2176,-0.2358,4.5497,6.6 to 14.5,8.6 to 13.0,-4.8 to 4.3,Similar to Last Season,0.1057,9.8 - 12.1,4
COVID,State,Vermont,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,28.4,23,6.7215,4.4683,5.4001,8.0712,21.7 to 35.1,18.6 to 27.5,-2.7 to 13.5,Similar to Last Season,0.2843,12.2 - 28.7,5
COVID,State,Virginia,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,11.7,11.6,2.4736,1.5029,0.1636,2.8944,9.3 to 14.2,10.1 to 13.1,-2.7 to 3.1,Similar to Last Season,0.1174,9.8 - 12.1,4
COVID,State,Washington,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,13,15.9,4.0611,2.3549,-2.8533,4.6945,9.0 to 17.1,13.5 to 18.3,-7.5 to 1.8,Similar to Last Season,0.1305,12.2 - 28.7,5
COVID,State,West Virginia,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,4.4,6.1,1.6541,1.307,-1.684,2.1081,2.8 to 6.1,4.8 to 7.4,-3.8 to 0.4,Similar to Last Season,0.0443,2.6 - 5.2,1
COVID,State,Wisconsin,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,11.2,11.5,3.6034,2.3408,-0.2728,4.297,7.6 to 14.8,9.1 to 13.8,-4.6 to 4.0,Similar to Last Season,0.112,9.8 - 12.1,4
COVID,State,Wyoming,Overall,6 months-17 years,Up-to-date,November Week 5,2024-11-30,2023-12-02,2024-2025,2023-2024,5.9,8.2,3.3346,2.0317,-2.337,3.9048,2.5 to 9.2,6.2 to 10.2,-6.2 to 1.6,Similar to Last Season,0.0586,5.3 - 7.2,2
COVID,National,National,Age,12-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,12.3,13.1,1.019,0.7685,-0.8117,1.2763,11.3 to 13.3,12.3 to 13.9,-2.1 to 0.5,Similar to Last Season,0.123,11.6 - 13.2,4
COVID,National,National,Age,5-11 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,11.8,10.7,0.9429,0.489,1.105,1.0622,10.8 to 12.7,10.2 to 11.2,0.0 to 2.2,Higher than Last Season,0.1177,11.6 - 13.2,4
COVID,National,National,Mother's Education,>= College degree,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,15.1,15.2,0.9479,0.685,-0.1231,1.1695,14.2 to 16.1,14.6 to 15.9,-1.3 to 1.0,Similar to Last Season,0.1512,13.3 - 32.7,5
COVID,National,National,Mother's Education,High school or equivalent,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,5.4,5,1.0916,0.5425,0.3795,1.219,4.3 to 6.5,4.5 to 5.6,-0.8 to 1.6,Similar to Last Season,0.054,2.7 - 6.1,1
COVID,National,National,Mother's Education,Less than high school,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,7.2,7.5,1.7659,1.0396,-0.2818,2.0492,5.4 to 9.0,6.4 to 8.5,-2.3 to 1.8,Similar to Last Season,0.0719,6.2 - 8.9,2
COVID,National,National,Mother's Education,Some college,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,5.2,5.4,0.7902,0.4881,-0.2352,0.9288,4.4 to 5.9,4.9 to 5.9,-1.2 to 0.7,Similar to Last Season,0.0516,2.7 - 6.1,1
COVID,National,National,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,10.3,10.2,0.5673,0.3915,0.1018,0.6893,9.7 to 10.9,9.8 to 10.6,-0.6 to 0.8,Similar to Last Season,0.103,9.0 - 11.5,3
COVID,National,National,Poverty Status,"Above Poverty, Income < $75k",Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,6.3,6.2,1.0246,0.5463,0.1339,1.1611,5.3 to 7.4,5.7 to 6.8,-1.0 to 1.3,Similar to Last Season,0.0635,6.2 - 8.9,2
COVID,National,National,Poverty Status,"Above Poverty, Income >= $75k",Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,13.7,13.4,0.8796,0.5086,0.2159,1.0161,12.8 to 14.5,12.9 to 13.9,-0.8 to 1.2,Similar to Last Season,0.1365,13.3 - 32.7,5
COVID,National,National,Poverty Status,Below Poverty,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,6.4,6.1,1.2154,0.6852,0.2735,1.3952,5.2 to 7.6,5.4 to 6.8,-1.1 to 1.7,Similar to Last Season,0.0637,6.2 - 8.9,2
COVID,National,National,Poverty Status,Poverty Status Unknown,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,8.8,9.3,1.418,1.119,-0.5204,1.8063,7.4 to 10.2,8.2 to 10.4,-2.3 to 1.3,Similar to Last Season,0.0877,6.2 - 8.9,2
COVID,National,National,Race/Ethnicity,"Black, Non-Hispanic",Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,6.9,7.6,1.2837,0.7931,-0.7,1.5089,5.6 to 8.2,6.8 to 8.4,-2.2 to 0.8,Similar to Last Season,0.069,6.2 - 8.9,2
COVID,National,National,Race/Ethnicity,Hispanic,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,9.1,7.8,1.1997,0.5774,1.3037,1.3314,7.9 to 10.3,7.3 to 8.4,0.0 to 2.6,Similar to Last Season,0.0915,9.0 - 11.5,3
COVID,National,National,Race/Ethnicity,"Other, Non-Hispanic",Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,11.8,11.1,1.7779,0.9625,0.6935,2.0217,10.1 to 13.6,10.2 to 12.1,-1.3 to 2.7,Similar to Last Season,0.1184,11.6 - 13.2,4
COVID,National,National,Race/Ethnicity,"White, Non-Hispanic",Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,11.5,11.6,0.7663,0.4785,-0.0909,0.9034,10.7 to 12.2,11.1 to 12.0,-1.0 to 0.8,Similar to Last Season,0.1146,9.0 - 11.5,3
COVID,National,National,Urbanicity,Rural (Non-MSA),Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,5.6,5.7,0.9903,0.6054,-0.0139,1.1607,4.7 to 6.6,5.1 to 6.3,-1.2 to 1.1,Similar to Last Season,0.0565,2.7 - 6.1,1
COVID,National,National,Urbanicity,Suburban (MSA Non-Principal City),Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,10.2,10.2,0.7129,0.4974,-0.0606,0.8693,9.4 to 10.9,9.7 to 10.7,-0.9 to 0.8,Similar to Last Season,0.1016,9.0 - 11.5,3
COVID,National,National,Urbanicity,Urban (MSA Principal City),Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,12.8,11.9,1.275,0.7091,0.9058,1.4589,11.5 to 14.0,11.2 to 12.6,-0.6 to 2.4,Similar to Last Season,0.1277,11.6 - 13.2,4
COVID,Region,Region 1,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,18.8,18.8,2.1949,1.3769,0.0058,2.591,16.6 to 21.0,17.4 to 20.2,-2.6 to 2.6,Similar to Last Season,0.1882,13.3 - 32.7,5
COVID,Region,Region 10,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,15.1,14.4,2.3557,1.4564,0.7302,2.7696,12.7 to 17.4,12.9 to 15.8,-2.0 to 3.5,Similar to Last Season,0.1508,13.3 - 32.7,5
COVID,Region,Region 2,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,9.1,10.3,1.6197,1.0921,-1.2609,1.9535,7.5 to 10.7,9.3 to 11.4,-3.2 to 0.7,Similar to Last Season,0.0908,9.0 - 11.5,3
COVID,Region,Region 3,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,13.1,13.6,1.3446,1.8955,-0.4772,2.324,11.8 to 14.5,11.7 to 15.5,-2.8 to 1.8,Similar to Last Season,0.1315,11.6 - 13.2,4
COVID,Region,Region 4,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,5.5,6.3,0.8792,0.5938,-0.7724,1.0609,4.6 to 6.4,5.7 to 6.9,-1.8 to 0.3,Similar to Last Season,0.055,2.7 - 6.1,1
COVID,Region,Region 5,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,12.1,11.3,1.3546,1.135,0.7763,1.7672,10.7 to 13.4,10.2 to 12.4,-1.0 to 2.5,Similar to Last Season,0.1207,11.6 - 13.2,4
COVID,Region,Region 6,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,7.6,7,0.9728,0.5848,0.5594,1.135,6.6 to 8.6,6.4 to 7.6,-0.6 to 1.7,Similar to Last Season,0.0758,6.2 - 8.9,2
COVID,Region,Region 7,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,10.5,9.1,1.9687,1.0925,1.3432,2.2515,8.5 to 12.4,8.0 to 10.2,-0.9 to 3.6,Similar to Last Season,0.1047,9.0 - 11.5,3
COVID,Region,Region 8,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,12.1,12.2,1.8626,1.22,-0.1044,2.2266,10.2 to 13.9,10.9 to 13.4,-2.3 to 2.1,Similar to Last Season,0.1205,11.6 - 13.2,4
COVID,Region,Region 9,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,11.6,11.5,2.307,1.1955,0.1611,2.5984,9.3 to 13.9,10.3 to 12.7,-2.4 to 2.8,Similar to Last Season,0.1163,11.6 - 13.2,4
COVID,State,Alabama,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,6.1,4.9,2.2772,1.1286,1.207,2.5415,3.8 to 8.4,3.7 to 6.0,-1.3 to 3.7,Similar to Last Season,0.0607,2.7 - 6.1,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,5.4,7.3,2.3355,1.833,-1.9469,2.9689,3.1 to 7.7,5.5 to 9.2,-4.9 to 1.0,Similar to Last Season,0.054,2.7 - 6.1,1
COVID,State,Arizona,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,6.4,9.1,3.2945,2.1697,-2.7043,3.9448,3.1 to 9.7,6.9 to 11.3,-6.6 to 1.2,Similar to Last Season,0.064,6.2 - 8.9,2
COVID,State,Arkansas,Overall,6 months-17 years,Up-to-date,December Week 1,2024-12-07,2023-12-09,2024-2025,2023-2024,4.2,5.4,1.7164,1.3765,-1.2109,2.2002,2.5 to 5.9,4.0 to 6.8,-3.4 to 1.0,Similar to Last Season,0.0418,2.7 - 6.1,1
COVID,National,National,Overall,6 months-17 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,3.7,2.2,0.3362,0.2589,1.4221,0.4243,3.3 to 4.0,2.0 to 2.5,1.0 to 1.8,Higher than Last Season,0.0367,3.2 - 3.9,3
COVID,National,National,Overall,6 months-17 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,4.2,3.1,0.4215,0.4941,1.1643,0.6495,3.8 to 4.7,2.6 to 3.6,0.5 to 1.8,Higher than Last Season,0.0424,4.2 - 5.3,4
COVID,National,National,Overall,6 months-17 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,5.6,4.1,0.6227,0.575,1.4792,0.8476,5.0 to 6.2,3.5 to 4.7,0.6 to 2.3,Higher than Last Season,0.0558,5.2 - 6.7,4
COVID,National,National,Overall,6 months-17 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,6,4.9,0.6809,0.8526,1.1269,1.0911,5.3 to 6.7,4.0 to 5.7,0.0 to 2.2,Higher than Last Season,0.0599,5.7 - 7.0,4
COVID,National,National,Overall,6 months-17 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,7.8,7,0.4411,0.2656,0.8343,0.5149,7.4 to 8.2,6.7 to 7.2,0.3 to 1.3,Higher than Last Season,0.0781,6.7 - 8.3,3
COVID,National,National,Overall,6 months-17 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,8.4,7.5,0.6049,0.3893,0.9407,0.7193,7.8 to 9.1,7.1 to 7.9,0.2 to 1.7,Higher than Last Season,0.0845,6.9 - 8.8,3
COVID,National,National,Overall,6 months-17 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,8.9,8.4,0.5696,0.6676,0.4403,0.8776,8.3 to 9.4,7.8 to 9.1,-0.4 to 1.3,Similar to Last Season,0.0886,7.2 - 9.0,3
COVID,National,National,Overall,6 months-17 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,9.4,8.7,0.7513,0.7029,0.7647,1.0288,8.7 to 10.2,8.0 to 9.4,-0.3 to 1.8,Similar to Last Season,0.0943,7.3 - 9.4,3
COVID,National,National,Age,6-23 months,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,0.7,0.3,0.3033,0.2198,0.4019,0.3746,0.4 to 1.0,0.1 to 0.6,0.0 to 0.8,Higher than Last Season,0.0074,0.7 - 2.1,1
COVID,National,National,Age,6-23 months,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,0.7,0.4,0.3029,0.2256,0.3906,0.3777,0.4 to 1.1,0.1 to 0.6,0.0 to 0.8,Higher than Last Season,0.0075,0.7 - 2.4,1
COVID,National,National,Age,6-23 months,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,1,0.5,0.4261,0.3081,0.4754,0.5258,0.5 to 1.4,0.2 to 0.8,-0.1 to 1.0,Similar to Last Season,0.0096,1.0 - 2.7,1
COVID,National,National,Age,6-23 months,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,1.3,0.5,0.7813,0.3138,0.7717,0.842,0.5 to 2.1,0.2 to 0.8,-0.1 to 1.6,Similar to Last Season,0.0129,1.3 - 2.7,1
COVID,National,National,Age,6-23 months,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,2.3,1.3,0.7607,0.3084,1.0508,0.8208,1.6 to 3.1,1.0 to 1.6,0.2 to 1.9,Higher than Last Season,0.0231,2.3 - 4.8,1
COVID,National,National,Age,6-23 months,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,2.3,1.4,0.7607,0.4163,0.8879,0.8672,1.6 to 3.1,1.0 to 1.8,0.0 to 1.8,Higher than Last Season,0.0231,2.3 - 4.8,1
COVID,National,National,Age,6-23 months,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,2.4,1.5,0.7507,0.3958,0.8916,0.8487,1.6 to 3.1,1.1 to 1.9,0.0 to 1.7,Higher than Last Season,0.0239,2.4 - 4.8,1
COVID,National,National,Age,6-23 months,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,2.8,1.5,0.8921,0.3958,1.2829,0.976,1.9 to 3.7,1.1 to 1.9,0.3 to 2.3,Higher than Last Season,0.0279,2.5 - 5.1,1
COVID,National,National,Age,6 months-4 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,1.2,0.7,0.2679,0.1544,0.5063,0.3092,0.9 to 1.4,0.5 to 0.8,0.2 to 0.8,Higher than Last Season,0.0117,0.7 - 2.1,1
COVID,National,National,Age,6 months-4 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,1.3,0.7,0.2814,0.1544,0.5958,0.321,1.0 to 1.5,0.5 to 0.8,0.3 to 0.9,Higher than Last Season,0.0126,0.7 - 2.4,1
COVID,National,National,Age,6 months-4 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,1.4,0.7,0.308,0.1702,0.7127,0.3519,1.1 to 1.7,0.5 to 0.9,0.4 to 1.1,Higher than Last Season,0.0142,1.0 - 2.7,1
COVID,National,National,Age,6 months-4 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,1.8,0.7,0.5272,0.1766,1.0271,0.556,1.2 to 2.3,0.6 to 0.9,0.5 to 1.6,Higher than Last Season,0.0177,1.3 - 2.7,1
COVID,National,National,Age,6 months-4 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,3.4,2.7,0.5339,0.3037,0.6987,0.6142,2.9 to 3.9,2.4 to 3.0,0.1 to 1.3,Higher than Last Season,0.0341,2.3 - 4.8,1
COVID,National,National,Age,6 months-4 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,3.5,2.8,0.5255,0.332,0.6297,0.6216,2.9 to 4.0,2.5 to 3.2,0.0 to 1.3,Higher than Last Season,0.0347,2.3 - 4.8,1
COVID,National,National,Age,6 months-4 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,3.5,2.9,0.5248,0.3345,0.5995,0.6223,3.0 to 4.0,2.6 to 3.2,0.0 to 1.2,Similar to Last Season,0.0349,2.4 - 4.8,1
COVID,National,National,Age,6 months-4 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,4.3,3.1,0.6079,0.5044,1.177,0.7899,3.7 to 4.9,2.6 to 3.6,0.4 to 2.0,Higher than Last Season,0.0428,2.5 - 5.1,1
COVID,National,National,Age,5-11 years,Up-to-date,October Week 1,2024-10-05,2023-10-07,2024-2025,2023-2024,4,2.2,0.5023,0.3205,1.7968,0.5958,3.5 to 4.5,1.9 to 2.5,1.2 to 2.4,Higher than Last Season,0.04,4.0 - 4.9,4
COVID,National,National,Age,5-11 years,Up-to-date,October Week 2,2024-10-12,2023-10-14,2024-2025,2023-2024,5,3.2,0.7762,0.726,1.8107,1.0628,4.2 to 5.8,2.5 to 3.9,0.7 to 2.9,Higher than Last Season,0.05,4.2 - 5.3,4
COVID,National,National,Age,5-11 years,Up-to-date,October Week 3,2024-10-19,2023-10-21,2024-2025,2023-2024,5.8,4.1,0.785,0.7752,1.6487,1.1032,5.0 to 6.5,3.3 to 4.9,0.5 to 2.8,Higher than Last Season,0.0576,5.2 - 6.7,4
COVID,National,National,Age,5-11 years,Up-to-date,October Week 4,2024-10-26,2023-10-28,2024-2025,2023-2024,6.5,5,0.9952,1.1155,1.4633,1.4949,5.5 to 7.5,3.9 to 6.1,0.0 to 3.0,Similar to Last Season,0.0646,5.7 - 7.0,4
COVID,National,National,Age,5-11 years,Up-to-date,November Week 1,2024-11-02,2023-11-04,2024-2025,2023-2024,8.7,7.3,0.7105,0.4221,1.3598,0.8264,8.0 to 9.4,6.9 to 7.8,0.5 to 2.2,Higher than Last Season,0.087,8.4 - 10.7,4
COVID,National,National,Age,5-11 years,Up-to-date,November Week 2,2024-11-09,2023-11-11,2024-2025,2023-2024,9.1,8.2,0.7887,0.6048,0.9025,0.9939,8.3 to 9.9,7.6 to 8.8,-0.1 to 1.9,Similar to Last Season,0.0911,8.9 - 11.4,4
COVID,National,National,Age,5-11 years,Up-to-date,November Week 3,2024-11-16,2023-11-18,2024-2025,2023-2024,9.4,8.7,0.7851,0.8021,0.6372,1.1224,8.6 to 10.1,7.9 to 9.5,-0.5 to 1.8,Similar to Last Season,0.0936,9.1 - 11.5,4
COVID,National,National,Age,5-11 years,Up-to-date,November Week 4,2024-11-23,2023-11-25,2024-2025,2023-2024,9.9,8.8,0.8465,0.805,1.1034,1.1682,9.0 to 10.7,8.0 to 9.6,-0.1 to 2.3,Similar to Last Season,0.0988,9.5 - 11.9,4
